date,Ls
1950-01-01,159.565
1951-01-01,160.721
1952-01-01,161.876
1953-01-01,163.036
1954-01-01,164.194
1955-01-01,165.355
1956-01-01,166.519
1957-01-01,167.689
1958-01-01,168.857
1959-01-01,170.028
1960-01-01,171.199
1961-01-01,172.374
1962-01-01,173.545
1963-01-01,174.716
1964-01-01,175.887
1965-01-01,177.062
1966-01-01,178.237
1967-01-01,179.413
1968-01-01,180.593
1969-01-01,181.779
1970-01-01,182.965
1971-01-01,184.152
1972-01-01,185.342
1973-01-01,186.535
1974-01-01,187.726
1975-01-01,188.917
1976-01-01,190.108
1977-01-01,191.304
1978-01-01,192.498
1979-01-01,193.695
1980-01-01,194.896
1981-01-01,196.104
1982-01-01,197.311
1983-01-01,198.522
1984-01-01,199.735
1985-01-01,200.952
1986-01-01,202.167
1987-01-01,203.382
1988-01-01,204.597
1989-01-01,205.816
1990-01-01,207.034
1991-01-01,208.254
1992-01-01,209.478
1993-01-01,210.708
1994-01-01,211.938
1995-01-01,213.172
1996-01-01,214.408
1997-01-01,215.648
1998-01-01,216.887
1999-01-01,218.125
2000-01-01,219.363
2001-01-01,220.605
2002-01-01,221.845
2003-01-01,223.088
2004-01-01,224.334
2005-01-01,225.586
2006-01-01,226.839
2007-01-01,228.095
2008-01-01,229.355
2009-01-01,230.62
2010-01-01,231.882
2011-01-01,233.145
2012-01-01,234.408
2013-01-01,235.675
2014-01-01,236.939
2015-01-01,238.206
2016-01-01,239.475
2017-01-01,240.751
2018-01-01,242.028
2019-01-01,243.307
2020-01-01,244.59
2021-01-01,245.878
2022-01-01,247.164
2023-01-01,248.45
2024-01-01,249.736
2025-01-01,251.024
2026-01-01,252.31
2027-01-01,253.596
2028-01-01,254.885
2029-01-01,256.181
2030-01-01,257.475
2031-01-01,258.773
2032-01-01,260.073
2033-01-01,261.379
2034-01-01,262.682
2035-01-01,263.985
2036-01-01,265.288
2037-01-01,266.593
2038-01-01,267.894
2039-01-01,269.197
2040-01-01,270.501
2041-01-01,271.811
2042-01-01,273.12
2043-01-01,274.431
2044-01-01,275.746
2045-01-01,277.066
2046-01-01,278.383
2047-01-01,279.701
2048-01-01,281.017
2049-01-01,282.336
2050-01-01,283.65
2051-01-01,284.964
2052-01-01,286.279
2053-01-01,287.599
2054-01-01,288.918
2055-01-01,290.238
2056-01-01,291.56
2057-01-01,292.888
2058-01-01,294.212
2059-01-01,295.536
2060-01-01,296.858
2061-01-01,298.182
2062-01-01,299.5
2063-01-01,300.818
2064-01-01,302.134
2065-01-01,303.455
2066-01-01,304.774
2067-01-01,306.093
2068-01-01,307.414
2069-01-01,308.74
2070-01-01,310.062
