date,Ls
1950-01-01,194.768
1950-02-01,215.235
1950-03-01,236.584
1950-04-01,264.817
1950-05-01,297.733
1950-06-01,336.229
1950-07-01,13.275
1950-08-01,46.807
1950-09-01,74.505
1950-10-01,96.888
1950-11-01,116.937
1950-12-01,134.526
1951-01-01,151.78
1951-02-01,168.916
1951-03-01,184.964
1951-04-01,204.202
1951-05-01,225.337
1951-06-01,251.187
1951-07-01,281.458
1951-08-01,318.271
1951-09-01,357.341
1951-10-01,32.185
1951-11-01,62.477
1951-12-01,86.728
1952-01-01,108.04
1952-02-01,126.925
1952-03-01,143.363
1952-04-01,160.455
1952-05-01,177.263
1952-06-01,195.73
1952-07-01,215.619
1952-08-01,239.541
1952-09-01,268.418
1952-10-01,301.979
1952-11-01,340.746
1952-12-01,17.43
1953-01-01,50.28
1953-02-01,77.366
1953-03-01,97.964
1953-04-01,117.888
1953-05-01,135.407
1953-06-01,152.633
1953-07-01,169.223
1953-08-01,187.071
1953-09-01,206.554
1953-10-01,228.069
1953-11-01,254.491
1953-12-01,285.436
1954-01-01,322.764
1954-02-01,1.739
1954-03-01,33.883
1954-04-01,63.879
1954-05-01,87.906
1954-06-01,109.062
1954-07-01,127.273
1954-08-01,144.804
1954-09-01,161.891
1954-10-01,178.758
1954-11-01,197.363
1954-12-01,217.48
1955-01-01,241.759
1955-02-01,271.116
1955-03-01,302.711
1955-04-01,341.512
1955-05-01,18.126
1955-06-01,50.86
1955-07-01,77.052
1955-08-01,99.739
1955-09-01,119.466
1955-10-01,136.883
1955-11-01,154.074
1955-12-01,170.693
1956-01-01,188.641
1956-02-01,208.311
1956-03-01,229.33
1956-04-01,256.016
1956-05-01,287.262
1956-06-01,324.799
1956-07-01,2.481
1956-08-01,37.679
1956-09-01,66.998
1956-10-01,90.53
1956-11-01,111.349
1956-12-01,129.366
1957-01-01,146.805
1957-02-01,163.893
1957-03-01,179.692
1957-04-01,198.386
1957-05-01,218.649
1957-06-01,243.158
1957-07-01,271.77
1957-08-01,307.118
1957-09-01,346.099
1957-10-01,22.266
1957-11-01,54.292
1957-12-01,79.898
1958-01-01,102.161
1958-02-01,121.624
1958-03-01,137.78
1958-04-01,154.948
1958-05-01,171.585
1958-06-01,189.594
1958-07-01,208.701
1958-08-01,231.364
1958-09-01,258.488
1958-10-01,290.225
1958-11-01,328.088
1958-12-01,5.646
1959-01-01,40.388
1959-02-01,69.236
1959-03-01,90.996
1959-04-01,111.762
1959-05-01,129.748
1959-06-01,147.172
1959-07-01,163.71
1959-08-01,181.245
1959-09-01,200.096
1959-10-01,220.611
1959-11-01,245.51
1959-12-01,274.617
1960-01-01,310.436
1960-02-01,349.509
1960-03-01,24.205
1960-04-01,55.912
1960-05-01,81.258
1960-06-01,103.337
1960-07-01,122.094
1960-08-01,139.912
1960-09-01,157.049
1960-10-01,173.747
1960-11-01,191.927
1960-12-01,211.326
1961-01-01,234.457
1961-02-01,262.237
1961-03-01,292.351
1961-04-01,330.417
1961-05-01,7.853
1961-06-01,42.257
1961-07-01,69.94
1961-08-01,93.733
1961-09-01,114.165
1961-10-01,131.966
1961-11-01,149.31
1961-12-01,165.864
1962-01-01,183.515
1962-02-01,202.605
1962-03-01,222.007
1962-04-01,247.185
1962-05-01,276.636
1962-06-01,312.759
1962-07-01,350.601
1962-08-01,27.39
1962-09-01,58.542
1962-10-01,83.454
1962-11-01,105.229
1962-12-01,123.806
1963-01-01,141.53
1963-02-01,158.651
1963-03-01,174.266
1963-04-01,192.489
1963-05-01,211.96
1963-06-01,235.207
1963-07-01,262.161
1963-08-01,295.771
1963-09-01,334.129
1963-10-01,11.331
1963-11-01,45.182
1963-12-01,72.353
1964-01-01,95.762
1964-02-01,115.949
1964-03-01,133.046
1964-04-01,150.354
1964-05-01,166.92
