date,Ls
1950-01-01,5.455
1950-02-01,12.494
1950-03-01,18.743
1950-04-01,25.539
1950-05-01,31.998
1950-06-01,38.552
1950-07-01,44.784
1950-08-01,51.116
1950-09-01,57.346
1950-10-01,63.286
1950-11-01,69.34
1950-12-01,75.125
1951-01-01,81.036
1951-02-01,86.89
1951-03-01,92.135
1951-04-01,97.904
1951-05-01,103.459
1951-06-01,109.179
1951-07-01,114.704
1951-08-01,120.41
1951-09-01,126.124
1951-10-01,131.669
1951-11-01,137.424
1951-12-01,143.025
1952-01-01,148.856
1952-02-01,154.736
1952-03-01,160.29
1952-04-01,166.29
1952-05-01,172.166
1952-06-01,178.317
1952-07-01,184.355
1952-08-01,190.688
1952-09-01,197.125
1952-10-01,203.46
1952-11-01,210.12
1952-12-01,216.68
1953-01-01,223.578
1953-02-01,230.599
1953-03-01,237.043
1953-04-01,244.287
1953-05-01,251.403
1953-06-01,258.856
1953-07-01,266.154
1953-08-01,273.771
1953-09-01,281.447
1953-10-01,288.917
1953-11-01,296.659
1953-12-01,304.156
1954-01-01,311.888
1954-02-01,319.586
1954-03-01,326.494
1954-04-01,334.079
1954-05-01,341.34
1954-06-01,348.751
1954-07-01,355.823
1954-08-01,3.02
1954-09-01,10.1
1954-10-01,16.837
1954-11-01,23.679
1954-12-01,30.186
1955-01-01,36.795
1955-02-01,43.291
1955-03-01,49.065
1955-04-01,55.361
1955-05-01,61.363
1955-06-01,67.478
1955-07-01,73.32
1955-08-01,79.287
1955-09-01,85.191
1955-10-01,90.854
1955-11-01,96.66
1955-12-01,102.245
1956-01-01,107.99
1956-02-01,113.717
1956-03-01,119.067
1956-04-01,124.786
1956-05-01,130.33
1956-06-01,136.077
1956-07-01,141.664
1956-08-01,147.473
1956-09-01,153.328
1956-10-01,159.046
1956-11-01,165.017
1956-12-01,170.865
1957-01-01,176.986
1957-02-01,183.196
1957-03-01,188.888
1957-04-01,195.287
1957-05-01,201.583
1957-06-01,208.2
1957-07-01,214.717
1957-08-01,221.569
1957-09-01,228.543
1957-10-01,235.407
1957-11-01,242.615
1957-12-01,249.697
1958-01-01,257.118
1958-02-01,264.632
1958-03-01,271.489
1958-04-01,279.144
1958-05-01,286.601
1958-06-01,294.338
1958-07-01,301.84
1958-08-01,309.585
1958-09-01,317.304
1958-10-01,324.732
1958-11-01,332.347
1958-12-01,339.642
1959-01-01,347.091
1959-02-01,354.437
1959-03-01,0.977
1959-04-01,8.105
1959-05-01,14.888
1959-06-01,21.776
1959-07-01,28.325
1959-08-01,34.973
1959-09-01,41.503
1959-10-01,47.716
1959-11-01,54.032
1959-12-01,60.051
1960-01-01,66.181
1960-02-01,72.228
1960-03-01,77.816
1960-04-01,83.726
1960-05-01,89.389
1960-06-01,95.192
1960-07-01,100.771
1960-08-01,106.505
1960-09-01,112.218
1960-10-01,117.736
1960-11-01,123.434
1960-12-01,128.955
1961-01-01,134.676
1961-02-01,140.424
1961-03-01,145.646
1961-04-01,151.469
1961-05-01,157.155
1961-06-01,163.093
1961-07-01,168.907
1961-08-01,174.993
1961-09-01,181.17
1961-10-01,187.239
1961-11-01,193.614
1961-12-01,199.889
1962-01-01,206.488
1962-02-01,213.209
1962-03-01,219.387
1962-04-01,226.347
1962-05-01,233.202
1962-06-01,240.406
1962-07-01,247.49
1962-08-01,254.919
1962-09-01,262.449
1962-10-01,269.82
1962-11-01,277.507
1962-12-01,284.998
1963-01-01,292.773
1963-02-01,300.564
1963-03-01,307.597
1963-04-01,315.36
1963-05-01,322.831
1963-06-01,330.489
1963-07-01,337.826
1963-08-01,345.315
1963-09-01,352.699
1963-10-01,359.737
1963-11-01,6.89
1963-12-01,13.694
1964-01-01,20.6
1964-02-01,27.38
1964-03-01,33.611
1964-04-01,40.155
1964-05-01,46.38
1964-06-01,52.704
1964-07-01,58.727
1964-08-01,64.858
1964-09-01,70.904
1964-10-01,76.68
1964-11-01,82.583
1964-12-01,88.24
1965-01-01,94.036
1965-02-01,99.792
1965-03-01,104.964
1965-04-01,110.669
1965-05-01,116.178
1965-06-01,121.868
1965-07-01,127.38
1965-08-01,133.091
1965-09-01,138.826
1965-10-01,144.409
1965-11-01,150.222
1965-12-01,155.898
1966-01-01,161.824
1966-02-01,167.823
1966-03-01,173.31
1966-04-01,179.469
1966-05-01,185.522
1966-06-01,191.879
1966-07-01,198.138
1966-08-01,204.722
1966-09-01,211.429
1966-10-01,218.039
1966-11-01,224.997
1966-12-01,231.853
1967-01-01,239.062
1967-02-01,246.393
1967-03-01,253.114
1967-04-01,260.654
1967-05-01,268.038
1967-06-01,275.742
1967-07-01,283.252
1967-08-01,291.048
1967-09-01,298.86
1967-10-01,306.414
1967-11-01,314.192
1967-12-01,321.675
1968-01-01,329.342
1968-02-01,336.928
1968-03-01,343.939
1968-04-01,351.33
1968-05-01,358.373
1968-06-01,5.532
1968-07-01,12.342
1968-08-01,19.253
1968-09-01,26.039
1968-10-01,32.488
1968-11-01,39.035
1968-12-01,45.261
1969-01-01,51.588
1969-02-01,57.814
1969-03-01,63.358
1969-04-01,69.415
1969-05-01,75.202
1969-06-01,81.115
1969-07-01,86.78
1969-08-01,92.584
1969-09-01,98.348
1969-10-01,103.895
1969-11-01,109.606
1969-12-01,115.121
1970-01-01,120.816
1970-02-01,126.517
1970-03-01,131.679
1970-04-01,137.417
1970-05-01,143.002
1970-06-01,148.816
1970-07-01,154.491
1970-08-01,160.414
1970-09-01,166.408
1970-10-01,172.283
1970-11-01,178.44
1970-12-01,184.489
1971-01-01,190.84
1971-02-01,197.301
1971-03-01,203.234
1971-04-01,209.918
1971-05-01,216.503
1971-06-01,223.43
1971-07-01,230.253
1971-08-01,237.423
1971-09-01,244.712
1971-10-01,251.871
1971-11-01,259.368
1971-12-01,266.709
1972-01-01,274.368
1972-02-01,282.085
1972-03-01,289.341
1972-04-01,297.116
1972-05-01,304.641
1972-06-01,312.398
1972-07-01,319.868
1972-08-01,327.53
1972-09-01,335.119
1972-10-01,342.378
1972-11-01,349.779
1972-12-01,356.837
1973-01-01,4.015
1973-02-01,11.072
1973-03-01,17.339
1973-04-01,24.16
1973-05-01,30.644
1973-06-01,37.229
1973-07-01,43.493
1973-08-01,49.86
1973-09-01,56.126
1973-10-01,62.102
1973-11-01,68.194
1973-12-01,74.019
1974-01-01,79.973
1974-02-01,85.871
1974-03-01,91.158
1974-04-01,96.976
1974-05-01,102.578
1974-06-01,108.346
1974-07-01,113.916
1974-08-01,119.667
1974-09-01,125.42
1974-10-01,130.997
1974-11-01,136.776
1974-12-01,142.39
1975-01-01,148.221
1975-02-01,154.091
1975-03-01,159.434
1975-04-01,165.403
1975-05-01,171.242
1975-06-01,177.35
1975-07-01,183.342
1975-08-01,189.624
1975-09-01,196.008
1975-10-01,202.289
1975-11-01,208.892
1975-12-01,215.394
1976-01-01,222.232
1976-02-01,229.193
1976-03-01,235.815
1976-04-01,243.01
1976-05-01,250.083
1976-06-01,257.496
1976-07-01,264.762
1976-08-01,272.354
1976-09-01,280.015
1976-10-01,287.479
1976-11-01,295.226
1976-12-01,302.738
1977-01-01,310.495
1977-02-01,318.227
1977-03-01,325.173
1977-04-01,332.806
1977-05-01,340.12
1977-06-01,347.59
1977-07-01,354.722
1977-08-01,1.984
1977-09-01,9.128
1977-10-01,15.928
1977-11-01,22.833
1977-12-01,29.399
1978-01-01,36.065
1978-02-01,42.614
1978-03-01,48.433
1978-04-01,54.775
1978-05-01,60.816
1978-06-01,66.969
1978-07-01,72.842
1978-08-01,78.835
1978-09-01,84.76
1978-10-01,90.437
1978-11-01,96.255
1978-12-01,101.846
1979-01-01,107.593
1979-02-01,113.318
1979-03-01,118.478
1979-04-01,124.185
1979-05-01,129.713
1979-06-01,135.438
1979-07-01,141.0
1979-08-01,146.779
1979-09-01,152.6
1979-10-01,158.281
1979-11-01,164.21
1979-12-01,170.013
1980-01-01,176.086
1980-02-01,182.243
1980-03-01,188.088
1980-04-01,194.434
1980-05-01,200.677
1980-06-01,207.239
1980-07-01,213.703
1980-08-01,220.502
1980-09-01,227.425
1980-10-01,234.242
1980-11-01,241.406
1980-12-01,248.451
1981-01-01,255.84
1981-02-01,263.331
1981-03-01,270.175
1981-04-01,277.825
1981-05-01,285.287
1981-06-01,293.039
1981-07-01,300.564
1981-08-01,308.344
1981-09-01,316.107
1981-10-01,323.585
1981-11-01,331.257
1981-12-01,338.612
1982-01-01,346.124
1982-02-01,353.535
1982-03-01,0.132
1982-04-01,7.322
1982-05-01,14.163
1982-06-01,21.106
1982-07-01,27.705
1982-08-01,34.402
1982-09-01,40.977
1982-10-01,47.23
1982-11-01,53.584
1982-12-01,59.634
1983-01-01,65.791
1983-02-01,71.861
1983-03-01,77.276
1983-04-01,83.204
1983-05-01,88.882
1983-06-01,94.697
1983-07-01,100.283
1983-08-01,106.022
1983-09-01,111.735
1983-10-01,117.249
1983-11-01,122.941
1983-12-01,128.454
1984-01-01,134.164
1984-02-01,139.896
1984-03-01,145.287
1984-04-01,151.09
1984-05-01,156.754
1984-06-01,162.665
1984-07-01,168.451
1984-08-01,174.506
1984-09-01,180.648
1984-10-01,186.681
1984-11-01,193.017
1984-12-01,199.252
1985-01-01,205.809
1985-02-01,212.485
1985-03-01,218.622
1985-04-01,225.536
1985-05-01,232.347
1985-06-01,239.508
1985-07-01,246.553
1985-08-01,253.944
1985-09-01,261.44
1985-10-01,268.781
1985-11-01,276.443
1985-12-01,283.917
1986-01-01,291.681
1986-02-01,299.469
1986-03-01,306.506
1986-04-01,314.279
1986-05-01,321.767
1986-06-01,329.449
1986-07-01,336.814
1986-08-01,344.338
1986-09-01,351.761
1986-10-01,358.839
1986-11-01,6.036
1986-12-01,12.883
1987-01-01,19.835
1987-02-01,26.662
1987-03-01,32.72
1987-04-01,39.312
1987-05-01,45.58
1987-06-01,51.947
1987-07-01,58.01
1987-08-01,64.179
1987-09-01,70.26
1987-10-01,76.068
1987-11-01,82.0
1987-12-01,87.68
1988-01-01,93.498
1988-02-01,99.272
1988-03-01,104.642
1988-04-01,110.36
1988-05-01,115.878
1988-06-01,121.573
1988-07-01,127.088
1988-08-01,132.798
1988-09-01,138.53
1988-10-01,144.107
1988-11-01,149.911
1988-12-01,155.576
1989-01-01,161.488
1989-02-01,167.469
1989-03-01,172.937
1989-04-01,179.073
1989-05-01,185.1
1989-06-01,191.428
1989-07-01,197.655
1989-08-01,204.203
1989-09-01,210.872
1989-10-01,217.444
1989-11-01,224.36
1989-12-01,231.174
1990-01-01,238.337
1990-02-01,245.62
1990-03-01,252.295
1990-04-01,259.783
1990-05-01,267.115
1990-06-01,274.766
1990-07-01,282.227
1990-08-01,289.976
1990-09-01,297.746
1990-10-01,305.265
1990-11-01,313.017
1990-12-01,320.482
1991-01-01,328.141
1991-02-01,335.727
1991-03-01,342.505
1991-04-01,349.915
1991-05-01,356.983
1991-06-01,4.174
1991-07-01,11.018
1991-08-01,17.97
1991-09-01,24.8
1991-10-01,31.293
1991-11-01,37.886
1991-12-01,44.159
1992-01-01,50.535
1992-02-01,56.809
1992-03-01,62.592
1992-04-01,68.691
1992-05-01,74.517
1992-06-01,80.468
1992-07-01,86.168
1992-08-01,92.007
1992-09-01,97.803
1992-10-01,103.378
1992-11-01,109.114
1992-12-01,114.649
1993-01-01,120.362
1993-02-01,126.077
1993-03-01,131.25
1993-04-01,136.996
1993-05-01,142.584
1993-06-01,148.395
1993-07-01,154.064
1993-08-01,159.977
1993-09-01,165.955
1993-10-01,171.811
1993-11-01,177.942
1993-12-01,183.962
1994-01-01,190.279
1994-02-01,196.7
1994-03-01,202.594
1994-04-01,209.23
1994-05-01,215.765
1994-06-01,222.637
1994-07-01,229.404
1994-08-01,236.515
