date,Ls
1950-01-01,149.547
1950-02-01,156.714
1950-03-01,163.075
1950-04-01,170.116
1950-05-01,177.051
1950-06-01,184.483
1950-07-01,192.091
1950-08-01,200.59
1950-09-01,210.022
1950-10-01,220.42
1950-11-01,233.059
1950-12-01,247.959
1951-01-01,267.392
1951-02-01,292.528
1951-03-01,320.78
1951-04-01,355.645
1951-05-01,27.307
1951-06-01,53.963
1951-07-01,73.999
1951-08-01,90.286
1951-09-01,103.49
1951-10-01,114.266
1951-11-01,123.97
1951-12-01,132.391
1952-01-01,140.394
1952-02-01,147.911
1952-03-01,154.663
1952-04-01,161.724
1952-05-01,168.526
1952-06-01,175.652
1952-07-01,182.774
1952-08-01,190.525
1952-09-01,198.876
1952-10-01,207.78
1952-11-01,218.198
1952-12-01,229.968
1953-01-01,244.671
1953-02-01,263.166
1953-03-01,284.461
1953-04-01,314.203
1953-05-01,347.602
1953-06-01,21.274
1953-07-01,48.446
1953-08-01,70.333
1953-09-01,87.388
1953-10-01,100.709
1953-11-01,112.232
1953-12-01,121.882
1954-01-01,130.773
1954-02-01,138.896
1954-03-01,145.776
1954-04-01,153.062
1954-05-01,159.922
1954-06-01,166.949
1954-07-01,173.812
1954-08-01,181.103
1954-09-01,188.752
1954-10-01,196.675
1954-11-01,205.644
1954-12-01,215.401
1955-01-01,227.081
1955-02-01,241.123
1955-03-01,256.755
1955-04-01,278.734
1955-05-01,305.998
1955-06-01,339.711
1955-07-01,13.048
1955-08-01,42.675
1955-09-01,65.871
1955-10-01,83.35
1955-11-01,97.812
1955-12-01,109.423
1956-01-01,119.728
1956-02-01,128.836
1956-03-01,136.595
1956-04-01,144.325
1956-05-01,151.434
1956-06-01,158.553
1956-07-01,165.355
1956-08-01,172.421
1956-09-01,179.66
1956-10-01,186.974
1956-11-01,195.027
1956-12-01,203.52
1957-01-01,213.331
1957-02-01,224.65
1957-03-01,236.735
1957-04-01,253.111
1957-05-01,273.273
1957-06-01,300.096
1957-07-01,331.888
1957-08-01,6.742
1957-09-01,37.575
1957-10-01,61.253
