date,Ls
1950-01-04,283.056
1950-01-09,288.147
1950-01-14,293.243
1950-01-19,298.341
1950-01-24,303.433
1950-01-29,308.513
1950-02-03,313.584
1950-02-08,318.649
1950-02-13,323.711
1950-02-18,328.765
1950-02-23,333.805
1950-02-28,338.83
1950-03-05,343.842
1950-03-10,348.843
1950-03-15,353.834
1950-03-20,358.811
1950-03-25,3.773
1950-03-30,8.721
1950-04-04,13.652
1950-04-09,18.569
1950-04-14,23.472
1950-04-19,28.365
1950-04-24,33.247
1950-04-29,38.113
1950-05-04,42.962
1950-05-09,47.797
1950-05-14,52.625
1950-05-19,57.449
1950-05-24,62.263
1950-05-29,67.063
1950-06-03,71.849
1950-06-08,76.63
1950-06-13,81.412
1950-06-18,86.194
1950-06-23,90.969
1950-06-28,95.734
1950-07-03,100.494
1950-07-08,105.259
1950-07-13,110.032
1950-07-18,114.807
1950-07-23,119.58
1950-07-28,124.351
1950-08-02,129.128
1950-08-07,133.917
1950-08-12,138.717
1950-08-17,143.523
1950-08-22,148.334
1950-08-27,153.152
1950-09-01,157.982
1950-09-06,162.827
1950-09-11,167.686
1950-09-16,172.556
1950-09-21,177.438
1950-09-26,182.332
1950-10-01,187.239
1950-10-06,192.161
1950-10-11,197.099
1950-10-16,202.054
1950-10-21,207.022
1950-10-26,211.999
1950-10-31,216.988
1950-11-05,221.992
1950-11-10,227.013
1950-11-15,232.05
1950-11-20,237.093
1950-11-25,242.141
1950-11-30,247.197
1950-12-05,252.266
1950-12-10,257.35
1950-12-15,262.44
1950-12-20,267.527
1950-12-25,272.614
1950-12-30,277.705
1951-01-04,282.803
1951-01-09,287.907
1951-01-14,293.004
1951-01-19,298.092
1951-01-24,303.175
1951-01-29,308.256
1951-02-03,313.336
1951-02-08,318.409
1951-02-13,323.469
1951-02-18,328.516
1951-02-23,333.552
1951-02-28,338.58
1951-03-05,343.599
1951-03-10,348.604
1951-03-15,353.594
1951-03-20,358.57
1951-03-25,3.53
1951-03-30,8.476
1951-04-04,13.411
1951-04-09,18.333
1951-04-14,23.241
1951-04-19,28.134
1951-04-24,33.008
1951-04-29,37.87
1951-05-04,42.724
1951-05-09,47.57
1951-05-14,52.404
1951-05-19,57.221
1951-05-24,62.024
1951-05-29,66.822
1951-06-03,71.619
1951-06-08,76.411
1951-06-13,81.194
1951-06-18,85.964
1951-06-23,90.728
1951-06-28,95.497
1951-07-03,100.271
1951-07-08,105.043
1951-07-13,109.809
1951-07-18,114.571
1951-07-23,119.34
1951-07-28,124.119
1951-08-02,128.905
1951-08-07,133.695
1951-08-12,138.486
1951-08-17,143.284
1951-08-22,148.094
1951-08-27,152.918
1951-09-01,157.753
1951-09-06,162.597
1951-09-11,167.451
1951-09-16,172.317
1951-09-21,177.197
1951-09-26,182.092
1951-10-01,187.002
1951-10-06,191.927
1951-10-11,196.864
1951-10-16,201.813
1951-10-21,206.775
1951-10-26,211.753
1951-10-31,216.748
1951-11-05,221.759
1951-11-10,226.778
