date,Ls
1950-01-01,265.791
1950-02-01,282.96
1950-03-01,300.727
1950-04-01,323.353
1950-05-01,348.179
1950-06-01,15.826
1950-07-01,42.562
1950-08-01,68.151
1950-09-01,90.653
1950-10-01,109.494
1950-11-01,126.423
1950-12-01,140.908
1951-01-01,154.434
1951-02-01,166.927
1951-03-01,177.619
1951-04-01,189.079
1951-05-01,200.034
1951-06-01,211.462
1951-07-01,222.874
1951-08-01,235.318
1951-09-01,248.77
1951-10-01,263.155
1951-11-01,279.944
1951-12-01,298.61
1952-01-01,320.903
1952-02-01,346.303
1952-03-01,12.044
1952-04-01,39.769
1952-05-01,64.836
1952-06-01,87.764
1952-07-01,106.983
1952-08-01,124.228
1952-09-01,139.408
1952-10-01,152.645
1952-11-01,165.258
1952-12-01,176.773
1953-01-01,188.254
1953-02-01,199.577
1953-03-01,209.88
1953-04-01,221.613
1953-05-01,233.56
1953-06-01,246.851
1953-07-01,261.018
1953-08-01,277.507
1953-09-01,296.464
1953-10-01,317.672
1953-11-01,342.687
1953-12-01,9.151
1954-01-01,36.965
1954-02-01,63.091
1954-03-01,84.146
1954-04-01,104.456
1954-05-01,121.494
1954-06-01,136.977
1954-07-01,150.427
1954-08-01,163.194
1954-09-01,175.183
1954-10-01,186.338
1954-11-01,197.67
1954-12-01,208.684
1955-01-01,220.37
1955-02-01,232.649
1955-03-01,244.528
1955-04-01,258.929
1955-05-01,274.57
1955-06-01,293.066
1955-07-01,313.754
1955-08-01,338.257
1955-09-01,5.337
1955-10-01,32.335
1955-11-01,58.876
1955-12-01,81.861
1956-01-01,102.49
1956-02-01,120.318
1956-03-01,134.985
1956-04-01,149.052
1956-05-01,161.519
1956-06-01,173.593
1956-07-01,184.794
1956-08-01,196.137
1956-09-01,207.5
1956-10-01,218.759
1956-11-01,230.94
1956-12-01,243.561
1957-01-01,257.854
1957-02-01,273.905
1957-03-01,290.396
1957-04-01,311.397
1957-05-01,334.748
1957-06-01,1.55
1957-07-01,28.56
1957-08-01,55.395
1957-09-01,79.523
1957-10-01,99.846
1957-11-01,118.024
1957-12-01,133.429
1958-01-01,147.648
1958-02-01,160.623
1958-03-01,171.601
1958-04-01,183.236
1958-05-01,194.232
1958-06-01,205.574
1958-07-01,216.771
1958-08-01,228.839
1958-09-01,241.727
1958-10-01,255.345
1958-11-01,271.066
1958-12-01,288.405
1959-01-01,309.094
1959-02-01,332.954
1959-03-01,356.939
1959-04-01,24.812
1959-05-01,51.067
1959-06-01,75.705
1959-07-01,96.529
1959-08-01,115.147
1959-09-01,131.373
1959-10-01,145.353
1959-11-01,158.505
1959-12-01,170.362
1960-01-01,182.039
1960-02-01,193.414
1960-03-01,204.013
1960-04-01,215.539
1960-05-01,227.139
1960-06-01,239.891
1960-07-01,253.322
1960-08-01,268.78
1960-09-01,286.397
1960-10-01,306.063
1960-11-01,329.495
1960-12-01,354.958
1961-01-01,22.814
1961-02-01,50.05
1961-03-01,72.556
1961-04-01,94.459
1961-05-01,112.792
1961-06-01,129.307
1961-07-01,143.493
1961-08-01,156.797
1961-09-01,169.141
1961-10-01,180.494
1961-11-01,191.897
1961-12-01,202.856
1962-01-01,214.352
1962-02-01,226.29
1962-03-01,237.706
1962-04-01,251.385
1962-05-01,266.072
1962-06-01,283.278
1962-07-01,302.451
1962-08-01,325.329
1962-09-01,351.234
1962-10-01,18.082
1962-11-01,45.578
1962-12-01,70.08
1963-01-01,92.326
1963-02-01,111.527
1963-03-01,126.686
1963-04-01,141.605
1963-05-01,154.659
1963-06-01,167.141
1963-07-01,178.577
1963-08-01,190.018
1963-09-01,201.34
1963-10-01,212.424
1963-11-01,224.269
1963-12-01,236.39
1964-01-01,249.943
1964-02-01,264.976
1964-03-01,280.853
1964-04-01,300.331
1964-05-01,322.109
1964-06-01,347.648
1964-07-01,14.352
1964-08-01,41.997
1964-09-01,67.632
1964-10-01,89.518
1964-11-01,109.095
1964-12-01,125.563
1965-01-01,140.601
1965-02-01,154.158
1965-03-01,165.498
1965-04-01,177.381
1965-05-01,188.484
1965-06-01,199.809
1965-07-01,210.862
1965-08-01,222.638
1965-09-01,235.064
1965-10-01,248.039
1965-11-01,262.842
1965-12-01,279.009
1966-01-01,298.197
1966-02-01,320.429
1966-03-01,343.206
1966-04-01,10.601
1966-05-01,37.502
1966-06-01,63.584
1966-07-01,85.987
1966-08-01,106.05
1966-09-01,123.418
1966-10-01,138.225
1966-11-01,151.993
1966-12-01,164.258
1967-01-01,176.198
1967-02-01,187.696
1967-03-01,197.926
1967-04-01,209.317
1967-05-01,220.642
1967-06-01,232.938
1967-07-01,245.724
1967-08-01,260.257
1967-09-01,276.634
1967-10-01,294.794
1967-11-01,316.488
1967-12-01,340.497
1968-01-01,7.724
1968-02-01,35.571
1968-03-01,60.221
1968-04-01,83.757
1968-05-01,103.523
1968-06-01,121.226
1968-07-01,136.279
1968-08-01,150.234
1968-09-01,163.026
1968-10-01,174.654
1968-11-01,186.2
1968-12-01,197.175
1969-01-01,208.559
1969-02-01,220.246
1969-03-01,231.299
1969-04-01,244.393
1969-05-01,258.29
1969-06-01,274.4
1969-07-01,292.224
1969-08-01,313.51
1969-09-01,337.967
1969-10-01,4.113
1969-11-01,32.0
1969-12-01,57.746
1970-01-01,81.588
1970-02-01,102.261
1970-03-01,118.507
1970-04-01,134.347
1970-05-01,148.052
1970-06-01,161.005
1970-07-01,172.735
1970-08-01,184.339
1970-09-01,195.694
1970-10-01,206.689
1970-11-01,218.308
1970-12-01,230.063
1971-01-01,243.053
1971-02-01,257.294
1971-03-01,271.634
1971-04-01,289.677
1971-05-01,309.842
1971-06-01,333.802
1971-07-01,359.631
1971-08-01,27.528
1971-09-01,54.438
1971-10-01,77.95
1971-11-01,99.119
1971-12-01,116.849
1972-01-01,132.882
1972-02-01,147.164
1972-03-01,159.374
1972-04-01,171.574
1972-05-01,182.847
1972-06-01,194.219
1972-07-01,205.197
1972-08-01,216.764
1972-09-01,228.831
1972-10-01,241.284
1972-11-01,255.33
1972-12-01,270.505
1973-01-01,288.374
1973-02-01,309.053
1973-03-01,330.461
1973-04-01,356.892
1973-05-01,23.878
1973-06-01,51.052
1973-07-01,74.964
1973-08-01,96.551
1973-09-01,115.182
1973-10-01,130.925
1973-11-01,145.404
1973-12-01,158.154
1974-01-01,170.424
1974-02-01,182.108
1974-03-01,192.394
1974-04-01,203.728
1974-05-01,214.874
1974-06-01,226.841
1974-07-01,239.144
1974-08-01,252.967
1974-09-01,268.37
1974-10-01,285.304
1974-11-01,305.479
1974-12-01,327.995
1975-01-01,354.166
1975-02-01,21.987
1975-03-01,46.714
1975-04-01,71.867
1975-05-01,93.223
1975-06-01,112.315
1975-07-01,128.41
1975-08-01,143.16
1975-09-01,156.511
1975-10-01,168.499
1975-11-01,180.261
1975-12-01,191.309
1976-01-01,202.638
1976-02-01,214.13
1976-03-01,225.267
1976-04-01,237.874
1976-05-01,251.101
1976-06-01,266.266
1976-07-01,282.896
1976-08-01,302.684
1976-09-01,325.584
1976-10-01,350.626
1976-11-01,18.343
1976-12-01,44.958
1977-01-01,70.293
1977-02-01,92.514
1977-03-01,109.959
1977-04-01,126.845
1977-05-01,141.301
1977-06-01,154.808
1977-07-01,166.9
1977-08-01,178.728
1977-09-01,190.172
1977-10-01,201.132
1977-11-01,212.587
1977-12-01,224.046
1978-01-01,236.566
1978-02-01,250.127
1978-03-01,263.636
1978-04-01,280.478
1978-05-01,299.21
1978-06-01,321.582
1978-07-01,346.191
1978-08-01,13.737
1978-09-01,41.418
1978-10-01,66.346
1978-11-01,89.098
1978-12-01,108.16
1979-01-01,125.275
1979-02-01,140.357
1979-03-01,152.684
1979-04-01,165.307
1979-05-01,176.831
1979-06-01,188.318
1979-07-01,199.28
1979-08-01,210.696
1979-09-01,222.462
1979-10-01,234.458
1979-11-01,247.82
1979-12-01,262.082
1980-01-01,278.7
1980-02-01,297.817
1980-03-01,318.44
1980-04-01,343.526
1980-05-01,10.024
1980-06-01,37.818
1980-07-01,63.085
1980-08-01,86.265
1980-09-01,106.31
1980-10-01,123.14
1980-11-01,138.461
1980-12-01,151.798
1981-01-01,164.484
1981-02-01,176.422
1981-03-01,186.82
1981-04-01,198.156
1981-05-01,209.182
1981-06-01,220.888
1981-07-01,232.786
1981-08-01,246.0
1981-09-01,260.556
1981-10-01,276.398
1981-11-01,295.157
1981-12-01,316.139
1982-01-01,340.93
1982-02-01,8.17
1982-03-01,33.347
1982-04-01,59.806
1982-05-01,82.69
1982-06-01,103.224
1982-07-01,120.44
1982-08-01,136.065
1982-09-01,150.045
1982-10-01,162.454
1982-11-01,174.489
1982-12-01,185.669
1983-01-01,197.007
1983-02-01,208.38
1983-03-01,218.9
1983-04-01,231.08
1983-05-01,243.703
1983-06-01,257.997
1983-07-01,273.5
1983-08-01,291.809
1983-09-01,313.018
1983-10-01,336.57
1983-11-01,3.51
1983-12-01,30.519
1984-01-01,57.213
1984-02-01,81.132
1984-03-01,100.63
1984-04-01,118.721
1984-05-01,134.06
1984-06-01,148.231
1984-07-01,160.769
1984-08-01,172.893
1984-09-01,184.489
1984-10-01,195.472
1984-11-01,206.824
1984-12-01,218.053
1985-01-01,230.181
1985-02-01,243.162
1985-03-01,255.947
1985-04-01,271.72
1985-05-01,289.128
1985-06-01,309.905
1985-07-01,333.039
1985-08-01,359.694
1985-09-01,27.607
1985-10-01,53.704
1985-11-01,78.064
1985-12-01,98.608
1986-01-01,116.976
1986-02-01,133.008
1986-03-01,145.966
1986-04-01,159.084
1986-05-01,170.918
1986-06-01,182.582
1986-07-01,193.588
1986-08-01,204.922
