date,Ls
1950-01-01,354.962
1950-02-01,357.672
1950-03-01,0.128
1950-04-01,2.858
1950-05-01,5.509
1950-06-01,8.259
1950-07-01,10.929
1950-08-01,13.696
1950-09-01,16.474
1950-10-01,19.169
1950-11-01,21.96
1950-12-01,24.666
1951-01-01,27.475
1951-02-01,30.29
1951-03-01,32.836
1951-04-01,35.659
1951-05-01,38.394
1951-06-01,41.224
1951-07-01,43.97
1951-08-01,46.813
1951-09-01,49.647
1951-10-01,52.401
1951-11-01,55.249
1951-12-01,57.996
1952-01-01,60.838
1952-02-01,63.691
1952-03-01,66.345
1952-04-01,69.181
1952-05-01,71.926
1952-06-01,74.761
1952-07-01,77.499
1952-08-01,80.326
1952-09-01,83.144
1952-10-01,85.868
1952-11-01,88.676
1952-12-01,91.382
1953-01-01,94.182
1953-02-01,96.974
1953-03-01,99.479
1953-04-01,102.243
1953-05-01,104.92
1953-06-01,107.675
1953-07-01,110.331
1953-08-01,113.063
1953-09-01,115.784
1953-10-01,118.411
1953-11-01,121.111
1953-12-01,123.716
1954-01-01,126.4
1954-02-01,129.069
1954-03-01,131.47
1954-04-01,134.109
1954-05-01,136.663
1954-06-01,139.296
1954-07-01,141.826
1954-08-01,144.419
1954-09-01,147.015
1954-10-01,149.513
1954-11-01,152.075
1954-12-01,154.552
1955-01-01,157.103
1955-02-01,159.634
1955-03-01,161.916
1955-04-01,164.431
1955-05-01,166.856
1955-06-01,169.352
1955-07-01,171.756
1955-08-01,174.231
1955-09-01,176.697
1955-10-01,179.075
1955-11-01,181.523
1955-12-01,183.884
1956-01-01,186.316
1956-02-01,188.739
1956-03-01,191.0
1956-04-01,193.409
1956-05-01,195.733
1956-06-01,198.127
1956-07-01,200.441
1956-08-01,202.827
1956-09-01,205.2
1956-10-01,207.496
1956-11-01,209.868
1956-12-01,212.152
1957-01-01,214.509
1957-02-01,216.87
1957-03-01,218.994
1957-04-01,221.337
1957-05-01,223.606
1957-06-01,225.955
1957-07-01,228.229
1957-08-01,230.563
1957-09-01,232.903
1957-10-01,235.17
1957-11-01,237.504
1957-12-01,239.767
1958-01-01,242.112
1958-02-01,244.45
1958-03-01,246.562
1958-04-01,248.911
1958-05-01,251.176
1958-06-01,253.522
1958-07-01,255.805
1958-08-01,258.156
1958-09-01,260.505
1958-10-01,262.793
1958-11-01,265.164
1958-12-01,267.459
1959-01-01,269.829
1959-02-01,272.216
1959-03-01,274.364
1959-04-01,276.763
1959-05-01,279.08
1959-06-01,281.485
1959-07-01,283.82
1959-08-01,286.242
1959-09-01,288.662
1959-10-01,291.019
1959-11-01,293.474
1959-12-01,295.847
1960-01-01,298.299
1960-02-01,300.781
1960-03-01,303.093
1960-04-01,305.587
1960-05-01,308.004
1960-06-01,310.514
1960-07-01,312.952
1960-08-01,315.482
1960-09-01,318.021
1960-10-01,320.492
1960-11-01,323.06
1960-12-01,325.55
1961-01-01,328.131
1961-02-01,330.733
1961-03-01,333.088
1961-04-01,335.702
1961-05-01,338.247
1961-06-01,340.891
1961-07-01,343.456
1961-08-01,346.117
1961-09-01,348.794
1961-10-01,351.392
1961-11-01,354.088
1961-12-01,356.707
1962-01-01,359.424
1962-02-01,2.151
1962-03-01,4.622
1962-04-01,7.369
1962-05-01,10.035
1962-06-01,12.797
1962-07-01,15.48
1962-08-01,18.263
1962-09-01,21.05
1962-10-01,23.752
1962-11-01,26.558
1962-12-01,29.28
1963-01-01,32.089
1963-02-01,34.91
1963-03-01,37.46
1963-04-01,40.288
1963-05-01,43.029
1963-06-01,45.867
1963-07-01,48.611
1963-08-01,51.449
1963-09-01,54.292
1963-10-01,57.036
1963-11-01,59.877
1963-12-01,62.628
1964-01-01,65.468
1964-02-01,68.299
