date,Ls,MSD,MY,date_dt
1950-01-01,61.884,27017.7,-2,1950-01-01
1950-02-01,75.424,27047.9,-2,1950-02-01
1950-03-01,87.696,27075.2,-2,1950-03-01
1950-04-01,101.473,27105.3,-2,1950-04-01
1950-05-01,115.138,27134.5,-2,1950-05-01
1950-06-01,129.754,27164.7,-2,1950-06-01
1950-07-01,144.518,27193.9,-2,1950-07-01
1950-08-01,160.542,27224.1,-2,1950-08-01
1950-09-01,177.443,27254.2,-2,1950-09-01
1950-10-01,194.663,27283.4,-2,1950-10-01
1950-11-01,213.285,27313.6,-2,1950-11-01
1950-12-01,231.934,27342.8,-2,1950-12-01
1951-01-01,251.555,27373.0,-2,1951-01-01
1951-02-01,271.16,27403.2,-2,1951-02-01
1951-03-01,288.54,27430.4,-2,1951-03-01
1951-04-01,307.145,27460.6,-2,1951-04-01
1951-05-01,324.345,27489.8,-2,1951-05-01
1951-06-01,341.224,27519.9,-2,1951-06-01
1951-07-01,356.724,27549.1,-2,1951-07-01
1951-08-01,11.974,27579.3,-1,1951-08-01
1951-09-01,26.575,27609.5,-1,1951-09-01
1951-10-01,40.229,27638.7,-1,1951-10-01
1951-11-01,53.999,27668.8,-1,1951-11-01
1951-12-01,67.142,27698.0,-1,1951-12-01
1952-01-01,80.685,27728.2,-1,1952-01-01
1952-02-01,94.343,27758.4,-1,1952-02-01
1952-03-01,107.363,27786.6,-1,1952-03-01
1952-04-01,121.688,27816.8,-1,1952-04-01
1952-05-01,136.092,27846.0,-1,1952-05-01
1952-06-01,151.678,27876.1,-1,1952-06-01
1952-07-01,167.549,27905.3,-1,1952-07-01
1952-08-01,184.833,27935.5,-1,1952-08-01
1952-09-01,203.008,27965.7,-1,1952-09-01
1952-10-01,221.333,27994.9,-1,1952-10-01
1952-11-01,240.795,28025.1,-1,1952-11-01
1952-12-01,259.818,28054.3,-1,1952-12-01
1953-01-01,279.295,28084.4,-1,1953-01-01
1953-02-01,298.248,28114.6,-1,1953-02-01
1953-03-01,314.708,28141.8,-1,1953-03-01
1953-04-01,332.088,28172.0,-1,1953-04-01
1953-05-01,348.046,28201.2,-1,1953-05-01
1953-06-01,3.711,28231.4,0,1953-06-01
1953-07-01,18.179,28260.6,0,1953-07-01
1953-08-01,32.552,28290.7,0,1953-08-01
1953-09-01,46.492,28320.9,0,1953-09-01
1953-10-01,59.717,28350.1,0,1953-10-01
1953-11-01,73.26,28380.3,0,1953-11-01
1953-12-01,86.393,28409.5,0,1953-12-01
1954-01-01,100.144,28439.7,0,1954-01-01
1954-02-01,114.232,28469.8,0,1954-02-01
1954-03-01,127.376,28497.1,0,1954-03-01
1954-04-01,142.533,28527.2,0,1954-04-01
1954-05-01,157.929,28556.4,0,1954-05-01
1954-06-01,174.691,28586.6,0,1954-06-01
1954-07-01,191.778,28615.8,0,1954-07-01
1954-08-01,210.28,28646.0,0,1954-08-01
1954-09-01,229.474,28676.2,0,1954-09-01
1954-10-01,248.435,28705.4,0,1954-10-01
1954-11-01,268.068,28735.5,0,1954-11-01
1954-12-01,286.75,28764.7,0,1954-12-01
1955-01-01,305.425,28794.9,0,1955-01-01
1955-02-01,323.265,28825.1,0,1955-02-01
1955-03-01,338.6,28852.3,0,1955-03-01
1955-04-01,354.737,28882.5,0,1955-04-01
1955-05-01,9.594,28911.7,1,1955-05-01
1955-06-01,24.288,28941.9,1,1955-06-01
1955-07-01,38.009,28971.0,1,1955-07-01
1955-08-01,51.822,29001.2,1,1955-08-01
1955-09-01,65.419,29031.4,1,1955-09-01
1955-10-01,78.517,29060.6,1,1955-10-01
1955-11-01,92.142,29090.8,1,1955-11-01
1955-12-01,105.559,29120.0,1,1955-12-01
1956-01-01,119.815,29150.1,1,1956-01-01
1956-02-01,134.623,29180.3,1,1956-02-01
1956-03-01,149.105,29208.5,1,1956-03-01
1956-04-01,165.376,29238.7,1,1956-04-01
1956-05-01,181.975,29267.9,1,1956-05-01
1956-06-01,200.013,29298.1,1,1956-06-01
1956-07-01,218.237,29327.3,1,1956-07-01
1956-08-01,237.642,29357.4,1,1956-08-01
1956-09-01,257.303,29387.6,1,1956-09-01
1956-10-01,276.21,29416.8,1,1956-10-01
1956-11-01,295.275,29447.0,1,1956-11-01
1956-12-01,313.02,29476.2,1,1956-12-01
1957-01-01,330.49,29506.3,1,1957-01-01
1957-02-01,347.053,29536.5,1,1957-02-01
1957-03-01,1.282,29563.8,2,1957-03-01
1957-04-01,16.328,29593.9,2,1957-04-01
1957-05-01,30.31,29623.1,2,1957-05-01
1957-06-01,44.308,29653.3,2,1957-06-01
1957-07-01,57.565,29682.5,2,1957-07-01
1957-08-01,71.117,29712.7,2,1957-08-01
1957-09-01,84.674,29742.8,2,1957-09-01
1957-10-01,97.945,29772.0,2,1957-10-01
1957-11-01,111.966,29802.2,2,1957-11-01
1957-12-01,125.977,29831.4,2,1957-12-01
1958-01-01,141.062,29861.6,2,1958-01-01
1958-02-01,156.898,29891.7,2,1958-02-01
1958-03-01,171.938,29919.0,2,1958-03-01
1958-04-01,189.453,29949.2,2,1958-04-01
1958-05-01,207.236,29978.4,2,1958-05-01
1958-06-01,226.327,30008.5,2,1958-06-01
1958-07-01,245.244,30037.7,2,1958-07-01
1958-08-01,264.895,30067.9,2,1958-08-01
1958-09-01,284.273,30098.1,2,1958-09-01
1958-10-01,302.457,30127.3,2,1958-10-01
1958-11-01,320.449,30157.4,2,1958-11-01
1958-12-01,337.002,30186.6,2,1958-12-01
1959-01-01,353.23,30216.8,2,1959-01-01
1959-02-01,8.65,30247.0,3,1959-02-01
1959-03-01,21.987,30274.2,3,1959-03-01
1959-04-01,36.237,30304.4,3,1959-04-01
1959-05-01,49.65,30333.6,3,1959-05-01
1959-06-01,63.273,30363.8,3,1959-06-01
1959-07-01,76.372,30393.0,3,1959-07-01
1959-08-01,89.974,30423.1,3,1959-08-01
1959-09-01,103.796,30453.3,3,1959-09-01
1959-10-01,117.529,30482.5,3,1959-10-01
1959-11-01,132.241,30512.7,3,1959-11-01
