date,Ls
1950-01-01,348.666
1950-02-01,157.757
1950-03-01,242.574
1950-04-01,359.735
1950-05-01,161.639
1950-06-01,254.014
1950-07-01,17.392
1950-08-01,175.822
1950-09-01,265.947
1950-10-01,42.429
1950-11-01,188.816
1950-12-01,275.412
1951-01-01,67.888
1951-02-01,200.944
1951-03-01,282.1
1951-04-01,80.381
1951-05-01,203.967
1951-06-01,296.308
1951-07-01,98.115
1951-08-01,215.456
1951-09-01,312.054
1951-10-01,119.469
1951-11-01,226.591
1951-12-01,325.285
1952-01-01,138.383
1952-02-01,237.75
1952-03-01,339.837
1952-04-01,151.127
1952-05-01,243.459
1952-06-01,1.444
1952-07-01,162.814
1952-08-01,254.972
1952-09-01,25.363
1952-10-01,176.942
1952-11-01,266.925
1952-12-01,44.298
1953-01-01,189.799
1953-02-01,279.714
1953-03-01,57.216
1953-04-01,195.987
1953-05-01,283.179
1953-06-01,82.213
1953-07-01,204.94
1953-08-01,297.47
1953-09-01,105.302
1953-10-01,216.362
1953-11-01,313.41
1953-12-01,121.056
1954-01-01,227.535
1954-02-01,331.271
1954-03-01,130.651
1954-04-01,233.026
1954-05-01,336.268
1954-06-01,148.204
1954-07-01,241.416
1954-08-01,357.319
1954-09-01,163.75
1954-10-01,252.81
1954-11-01,20.856
1954-12-01,174.431
1955-01-01,264.697
1955-02-01,46.055
1955-03-01,181.167
1955-04-01,270.868
1955-05-01,52.507
1955-06-01,193.709
1955-07-01,280.615
1955-08-01,77.668
1955-09-01,205.553
1955-10-01,294.641
1955-11-01,101.169
1955-12-01,214.175
1956-01-01,310.224
1956-02-01,122.207
1956-03-01,222.595
1956-04-01,323.235
1956-05-01,131.864
1956-06-01,233.715
1956-07-01,337.531
1956-08-01,149.247
1956-09-01,244.929
1956-10-01,358.815
1956-11-01,164.71
1956-12-01,253.569
1957-01-01,22.514
1957-02-01,178.665
1957-03-01,259.509
1957-04-01,35.092
1957-05-01,182.008
1957-06-01,271.776
1957-07-01,54.319
1957-08-01,194.594
1957-09-01,284.996
1957-10-01,79.441
1957-11-01,206.458
1957-12-01,295.789
1958-01-01,102.833
1958-02-01,217.879
1958-03-01,303.515
1958-04-01,113.719
1958-05-01,220.786
1958-06-01,320.128
1958-07-01,128.618
1958-08-01,231.854
1958-09-01,339.056
1958-10-01,146.423
1958-11-01,243.039
1958-12-01,354.977
1959-01-01,162.241
1959-02-01,254.542
1959-03-01,6.463
1959-04-01,169.595
1959-05-01,257.586
1959-06-01,30.822
1959-07-01,179.919
1959-08-01,269.635
1959-09-01,56.145
1959-10-01,192.492
1959-11-01,282.631
1959-12-01,75.121
1960-01-01,204.451
1960-02-01,296.857
1960-03-01,93.182
1960-04-01,213.103
1960-05-01,304.625
1960-06-01,115.166
1960-07-01,221.576
1960-08-01,321.414
1960-09-01,134.561
1960-10-01,232.636
1960-11-01,340.401
1960-12-01,147.533
1961-01-01,243.772
1961-02-01,2.013
1961-03-01,155.612
1961-04-01,249.481
1961-05-01,7.922
1961-06-01,170.42
1961-07-01,258.22
1961-08-01,32.311
1961-09-01,183.806
1961-10-01,270.379
1961-11-01,57.802
1961-12-01,193.237
1962-01-01,283.42
1962-02-01,82.698
1962-03-01,199.268
1962-04-01,290.451
1962-05-01,88.806
1962-06-01,210.892
1962-07-01,301.621
1962-08-01,111.208
1962-09-01,222.145
1962-10-01,318.032
1962-11-01,131.042
1962-12-01,230.474
1963-01-01,336.691
1963-02-01,148.542
1963-03-01,236.084
1963-04-01,347.035
1963-05-01,152.712
1963-06-01,247.375
1963-07-01,3.708
1963-08-01,167.832
1963-09-01,259.032
1963-10-01,27.842
1963-11-01,181.523
1963-12-01,268.141
1964-01-01,53.197
1964-02-01,194.052
1964-03-01,277.733
1964-04-01,72.26
1964-05-01,200.129
1964-06-01,291.509
1964-07-01,90.516
1964-08-01,211.777
1964-09-01,306.751
1964-10-01,112.793
1964-11-01,223.051
1964-12-01,319.45
1965-01-01,132.537
1965-02-01,234.178
1965-03-01,328.51
1965-04-01,141.433
1965-05-01,236.952
1965-06-01,348.604
1965-07-01,153.895
1965-08-01,248.237
1965-09-01,11.179
1965-10-01,168.872
1965-11-01,259.903
1965-12-01,29.618
1966-01-01,182.473
1966-02-01,272.21
1966-03-01,42.395
1966-04-01,188.904
1966-05-01,275.412
1966-06-01,67.769
1966-07-01,198.011
1966-08-01,288.907
1966-09-01,92.047
1966-10-01,209.648
1966-11-01,303.809
1966-12-01,108.893
1967-01-01,220.955
1967-02-01,320.528
1967-03-01,119.355
1967-04-01,226.553
1967-05-01,325.155
1967-06-01,138.263
1967-07-01,234.9
1967-08-01,344.695
1967-09-01,154.868
1967-10-01,246.099
1967-11-01,6.865
1967-12-01,166.205
1968-01-01,257.678
1968-02-01,31.236
1968-03-01,176.703
1968-04-01,266.745
1968-05-01,43.997
1968-06-01,189.619
1968-07-01,276.241
1968-08-01,69.433
1968-09-01,201.698
1968-10-01,289.856
1968-11-01,93.636
1968-12-01,210.44
1969-01-01,304.916
1969-02-01,115.569
1969-03-01,216.178
1969-04-01,313.18
1969-05-01,120.8
1969-06-01,227.381
1969-07-01,326.4
1969-08-01,139.458
1969-09-01,238.451
1969-10-01,346.211
1969-11-01,156.012
1969-12-01,246.955
1970-01-01,8.569
1970-02-01,170.816
1970-03-01,252.789
1970-04-01,20.736
1970-05-01,174.417
1970-06-01,264.712
1970-07-01,39.633
1970-08-01,187.588
1970-09-01,277.258
1970-10-01,65.021
1970-11-01,199.696
1970-12-01,287.447
1971-01-01,89.567
1971-02-01,211.329
1971-03-01,294.698
1971-04-01,101.169
1971-05-01,214.279
1971-06-01,310.313
1971-07-01,117.3
1971-08-01,225.518
1971-09-01,327.88
1971-10-01,136.478
1971-11-01,236.598
1971-12-01,342.558
1972-01-01,153.286
1972-02-01,247.818
1972-03-01,358.781
1972-04-01,164.743
1972-05-01,253.619
1972-06-01,22.438
1972-07-01,175.371
1972-08-01,265.533
1972-09-01,47.652
1972-10-01,188.386
1972-11-01,278.194
1972-12-01,66.804
1973-01-01,200.56
1973-02-01,291.92
1973-03-01,79.267
1973-04-01,206.401
1973-05-01,295.664
1973-06-01,102.625
1973-07-01,214.98
1973-08-01,311.308
1973-09-01,123.485
1973-10-01,226.129
1973-11-01,328.978
1973-12-01,137.507
1974-01-01,237.216
1974-02-01,349.096
1974-03-01,146.188
1974-04-01,242.848
1974-05-01,354.646
1974-06-01,161.975
1974-07-01,251.418
1974-08-01,17.891
1974-09-01,176.138
1974-10-01,263.225
1974-11-01,42.97
1974-12-01,186.024
1975-01-01,275.713
1975-02-01,68.357
1975-03-01,192.241
1975-04-01,282.377
1975-05-01,74.758
1975-06-01,204.211
1975-07-01,292.931
1975-08-01,98.522
1975-09-01,215.678
1975-10-01,308.356
1975-11-01,119.932
1975-12-01,224.145
1976-01-01,325.717
1976-02-01,138.81
1976-03-01,232.517
1976-04-01,340.163
1976-05-01,147.335
1976-06-01,243.63
1976-07-01,356.194
1976-08-01,163.008
1976-09-01,255.126
1976-10-01,19.623
1976-11-01,177.137
1976-12-01,264.129
1977-01-01,44.805
1977-02-01,190.088
1977-03-01,270.385
1977-04-01,57.707
1977-05-01,193.273
1977-06-01,283.372
1977-07-01,76.506
1977-08-01,205.086
1977-09-01,297.679
1977-10-01,100.111
1977-11-01,216.488
1977-12-01,309.493
1978-01-01,121.31
1978-02-01,227.672
1978-03-01,318.018
1978-04-01,131.019
1978-05-01,230.516
1978-06-01,336.649
1978-07-01,144.405
1978-08-01,241.654
1978-09-01,357.703
1978-10-01,160.321
1978-11-01,253.025
1978-12-01,15.239
1979-01-01,174.664
1979-02-01,264.909
1979-03-01,27.616
1979-04-01,181.398
1979-05-01,268.058
1979-06-01,53.0
1979-07-01,190.938
1979-08-01,280.905
1979-09-01,78.137
1979-10-01,202.927
1979-11-01,294.95
1979-12-01,95.998
1980-01-01,214.431
1980-02-01,310.588
1980-03-01,112.528
1980-04-01,222.873
1980-05-01,319.202
1980-06-01,132.281
1980-07-01,231.256
1980-08-01,337.889
1980-09-01,149.546
1980-10-01,242.345
1980-11-01,359.226
1980-12-01,161.321
1981-01-01,253.8
1981-02-01,22.96
1981-03-01,168.703
1981-04-01,259.771
1981-05-01,29.372
1981-06-01,182.34
1981-07-01,268.96
1981-08-01,54.836
1981-09-01,194.903
1981-10-01,281.84
1981-11-01,79.828
1981-12-01,203.757
1982-01-01,296.014
1982-02-01,103.17
1982-03-01,209.598
1982-04-01,303.742
1982-05-01,108.785
1982-06-01,220.944
1982-07-01,316.15
1982-08-01,129.0
1982-09-01,232.109
1982-10-01,334.547
1982-11-01,146.807
1982-12-01,240.485
1983-01-01,355.304
1983-02-01,162.447
1983-03-01,246.134
1983-04-01,6.797
1983-05-01,166.223
1983-06-01,257.715
1983-07-01,24.961
1983-08-01,180.064
1983-09-01,269.896
1983-10-01,50.305
1983-11-01,192.781
1983-12-01,279.599
1984-01-01,75.598
1984-02-01,204.725
1984-03-01,289.883
1984-04-01,93.577
1984-05-01,210.494
1984-06-01,304.904
1984-07-01,110.31
1984-08-01,221.767
1984-09-01,321.724
1984-10-01,130.299
1984-11-01,232.873
1984-12-01,335.837
1985-01-01,147.877
1985-02-01,244.029
1985-03-01,346.095
1985-04-01,155.951
1985-05-01,246.914
1985-06-01,8.377
1985-07-01,167.198
1985-08-01,258.503
1985-09-01,32.82
1985-10-01,180.884
1985-11-01,270.68
1985-12-01,51.987
1986-01-01,193.542
1986-02-01,283.72
1986-03-01,64.732
1986-04-01,199.522
1986-05-01,287.241
1986-06-01,89.265
1986-07-01,208.305
1986-08-01,301.934
1986-09-01,111.613
1986-10-01,219.618
1986-11-01,318.452
1986-12-01,126.8
1987-01-01,230.792
1987-02-01,337.161
1987-03-01,136.191
1987-04-01,236.4
1987-05-01,342.235
1987-06-01,153.009
1987-07-01,244.768
1987-08-01,4.089
1987-09-01,168.057
1987-10-01,256.293
1987-11-01,28.266
1987-12-01,178.482
1988-01-01,268.423
1988-02-01,53.745
1988-03-01,188.246
1988-04-01,278.073
1988-05-01,66.587
1988-06-01,200.472
1988-07-01,288.2
1988-08-01,90.874
1988-09-01,211.942
1988-10-01,303.061
1988-11-01,113.108
1988-12-01,220.435
1989-01-01,319.702
1989-02-01,132.795
1989-03-01,226.08
1989-04-01,328.909
1989-05-01,137.456
1989-06-01,237.221
1989-07-01,343.795
1989-08-01,154.239
1989-09-01,248.471
1989-10-01,5.757
1989-11-01,169.137
1989-12-01,257.184
1990-01-01,30.046
1990-02-01,182.686
1990-03-01,263.195
1990-04-01,42.812
1990-05-01,185.988
1990-06-01,275.705
1990-07-01,61.987
1990-08-01,198.277
1990-09-01,289.222
1990-10-01,86.676
1990-11-01,209.929
1990-12-01,300.283
1991-01-01,109.311
1991-02-01,221.207
1991-03-01,308.244
1991-04-01,119.769
1991-05-01,224.064
1991-06-01,325.547
1991-07-01,134.194
1991-08-01,235.192
1991-09-01,345.098
1991-10-01,151.247
1991-11-01,246.348
1991-12-01,1.573
1992-01-01,166.498
1992-02-01,257.929
1992-03-01,19.381
1992-04-01,176.987
1992-05-01,264.0
1992-06-01,44.546
1992-07-01,186.836
1992-08-01,276.584
1992-09-01,69.972
1992-10-01,199.095
1992-11-01,290.116
1992-12-01,88.225
1993-01-01,210.641
1993-02-01,305.183
1993-03-01,99.889
1993-04-01,216.36
1993-05-01,309.338
1993-06-01,121.133
1993-07-01,224.822
1993-08-01,326.799
1993-09-01,139.844
1993-10-01,235.961
1993-11-01,346.665
1993-12-01,152.487
1994-01-01,247.195
1994-02-01,8.93
1994-03-01,160.212
1994-04-01,252.958
1994-05-01,15.07
1994-06-01,174.598
1994-07-01,261.847
1994-08-01,39.978
1994-09-01,187.725
1994-10-01,274.309
1994-11-01,65.518
1994-12-01,197.019
1995-01-01,287.752
