date,Ls
1950-01-01,151.036
1951-01-01,153.179
1952-01-01,155.316
1953-01-01,157.464
1954-01-01,159.599
1955-01-01,161.738
1956-01-01,163.881
1957-01-01,166.028
1958-01-01,168.174
1959-01-01,170.32
1960-01-01,172.463
1961-01-01,174.613
1962-01-01,176.753
1963-01-01,178.889
1964-01-01,181.024
1965-01-01,183.164
1966-01-01,185.299
1967-01-01,187.434
1968-01-01,189.572
1969-01-01,191.717
1970-01-01,193.857
1971-01-01,196.0
1972-01-01,198.141
1973-01-01,200.289
1974-01-01,202.433
1975-01-01,204.572
1976-01-01,206.714
1977-01-01,208.859
1978-01-01,210.995
1979-01-01,213.138
1980-01-01,215.277
1981-01-01,217.424
1982-01-01,219.575
1983-01-01,221.72
1984-01-01,223.873
1985-01-01,226.037
1986-01-01,228.186
1987-01-01,230.343
1988-01-01,232.497
1989-01-01,234.646
1990-01-01,236.801
1991-01-01,238.949
1992-01-01,241.097
1993-01-01,243.268
1994-01-01,245.422
1995-01-01,247.586
1996-01-01,249.758
1997-01-01,251.92
1998-01-01,254.091
1999-01-01,256.258
2000-01-01,258.415
2001-01-01,260.595
2002-01-01,262.758
2003-01-01,264.919
2004-01-01,267.101
2005-01-01,269.271
2006-01-01,271.446
2007-01-01,273.629
2008-01-01,275.793
2009-01-01,277.982
2010-01-01,280.164
2011-01-01,282.338
2012-01-01,284.534
2013-01-01,286.724
2014-01-01,288.908
2015-01-01,291.106
2016-01-01,293.285
2017-01-01,295.478
2018-01-01,297.671
2019-01-01,299.849
2020-01-01,302.044
2021-01-01,304.246
2022-01-01,306.437
2023-01-01,308.65
2024-01-01,310.854
2025-01-01,313.063
2026-01-01,315.275
2027-01-01,317.47
2028-01-01,319.669
2029-01-01,321.877
2030-01-01,324.069
2031-01-01,326.274
2032-01-01,328.479
2033-01-01,330.689
2034-01-01,332.905
2035-01-01,335.117
2036-01-01,337.33
2037-01-01,339.553
2038-01-01,341.76
2039-01-01,343.969
2040-01-01,346.177
2041-01-01,348.386
2042-01-01,350.594
2043-01-01,352.8
2044-01-01,355.007
2045-01-01,357.224
2046-01-01,359.436
2047-01-01,1.65
2048-01-01,3.865
2049-01-01,6.087
2050-01-01,8.3
2051-01-01,10.511
2052-01-01,12.723
2053-01-01,14.934
2054-01-01,17.139
2055-01-01,19.346
2056-01-01,21.548
2057-01-01,23.763
2058-01-01,25.973
2059-01-01,28.181
2060-01-01,30.396
2061-01-01,32.611
2062-01-01,34.817
2063-01-01,37.027
2064-01-01,39.225
2065-01-01,41.431
2066-01-01,43.634
2067-01-01,45.825
2068-01-01,48.025
2069-01-01,50.231
2070-01-01,52.422
