date,Ls
1950-01-01,279.213
1951-01-01,280.775
1952-01-01,282.346
1953-01-01,284.1
1954-01-01,285.952
1955-01-01,287.789
1956-01-01,289.561
1957-01-01,291.199
1958-01-01,293.056
1959-01-01,295.022
1960-01-01,297.028
1961-01-01,298.954
1962-01-01,300.806
1963-01-01,302.711
1964-01-01,304.721
1965-01-01,306.914
1966-01-01,308.983
1967-01-01,311.016
1968-01-01,313.058
1969-01-01,315.204
1970-01-01,317.455
1971-01-01,319.713
1972-01-01,321.938
1973-01-01,324.077
1974-01-01,326.328
1975-01-01,328.648
1976-01-01,331.008
1977-01-01,333.363
1978-01-01,335.677
1979-01-01,338.023
1980-01-01,340.423
1981-01-01,342.906
1982-01-01,345.351
1983-01-01,347.787
1984-01-01,350.228
1985-01-01,352.695
1986-01-01,355.18
1987-01-01,357.662
1988-01-01,0.141
1989-01-01,2.636
1990-01-01,5.131
1991-01-01,7.621
1992-01-01,10.096
1993-01-01,12.567
1994-01-01,15.062
1995-01-01,17.562
1996-01-01,20.043
1997-01-01,22.449
1998-01-01,24.857
1999-01-01,27.283
2000-01-01,29.729
2001-01-01,32.188
2002-01-01,34.522
2003-01-01,36.809
2004-01-01,39.093
2005-01-01,41.487
2006-01-01,43.825
2007-01-01,46.088
2008-01-01,48.267
2009-01-01,50.374
2010-01-01,52.605
2011-01-01,54.857
2012-01-01,57.06
2013-01-01,59.077
2014-01-01,61.069
2015-01-01,63.094
2016-01-01,65.174
2017-01-01,67.326
2018-01-01,69.25
2019-01-01,71.086
2020-01-01,72.914
2021-01-01,74.903
2022-01-01,76.88
2023-01-01,78.77
2024-01-01,80.534
2025-01-01,82.133
2026-01-01,83.918
2027-01-01,85.753
2028-01-01,87.559
2029-01-01,89.171
2030-01-01,90.701
2031-01-01,92.271
2032-01-01,93.931
2033-01-01,95.753
2034-01-01,97.328
2035-01-01,98.79
2036-01-01,100.212
2037-01-01,101.765
2038-01-01,103.377
2039-01-01,104.916
2040-01-01,106.325
2041-01-01,107.514
2042-01-01,108.901
2043-01-01,110.377
2044-01-01,111.873
2045-01-01,113.246
2046-01-01,114.481
2047-01-01,115.733
2048-01-01,117.07
2049-01-01,118.601
2050-01-01,119.916
2051-01-01,121.107
2052-01-01,122.232
2053-01-01,123.428
2054-01-01,124.755
2055-01-01,126.06
2056-01-01,127.272
2057-01-01,128.271
2058-01-01,129.418
2059-01-01,130.655
2060-01-01,131.932
2061-01-01,133.154
2062-01-01,134.196
2063-01-01,135.219
2064-01-01,136.299
2065-01-01,137.567
2066-01-01,138.705
2067-01-01,139.752
2068-01-01,140.735
2069-01-01,141.73
2070-01-01,142.875
