date,Ls
1950-01-01,350.913
1950-02-01,351.989
1950-03-01,352.959
1950-04-01,354.031
1950-05-01,355.066
1950-06-01,356.133
1950-07-01,357.164
1950-08-01,358.227
1950-09-01,359.288
1950-10-01,0.312
1950-11-01,1.369
1950-12-01,2.39
1951-01-01,3.443
1951-02-01,4.494
1951-03-01,5.441
1951-04-01,6.487
1951-05-01,7.498
1951-06-01,8.54
1951-07-01,9.548
1951-08-01,10.587
1951-09-01,11.624
1951-10-01,12.626
1951-11-01,13.659
1951-12-01,14.656
1952-01-01,15.685
1952-02-01,16.711
1952-03-01,17.667
1952-04-01,18.689
1952-05-01,19.677
1952-06-01,20.696
1952-07-01,21.682
1952-08-01,22.698
1952-09-01,23.712
1952-10-01,24.692
1952-11-01,25.702
1952-12-01,26.677
1953-01-01,27.681
1953-02-01,28.684
1953-03-01,29.586
1953-04-01,30.587
1953-05-01,31.555
1953-06-01,32.553
1953-07-01,33.519
1953-08-01,34.514
1953-09-01,35.507
1953-10-01,36.466
1953-11-01,37.454
1953-12-01,38.406
1954-01-01,39.39
1954-02-01,40.372
1954-03-01,41.259
1954-04-01,42.241
1954-05-01,43.192
1954-06-01,44.172
1954-07-01,45.119
1954-08-01,46.095
1954-09-01,47.068
1954-10-01,48.006
1954-11-01,48.975
1954-12-01,49.91
1955-01-01,50.876
1955-02-01,51.842
1955-03-01,52.718
1955-04-01,53.684
1955-05-01,54.62
1955-06-01,55.583
1955-07-01,56.514
1955-08-01,57.472
1955-09-01,58.429
1955-10-01,59.35
1955-11-01,60.304
1955-12-01,61.226
1956-01-01,62.18
1956-02-01,63.133
1956-03-01,64.029
1956-04-01,64.982
1956-05-01,65.905
1956-06-01,66.855
1956-07-01,67.772
1956-08-01,68.717
1956-09-01,69.661
1956-10-01,70.571
1956-11-01,71.514
1956-12-01,72.426
1957-01-01,73.369
1957-02-01,74.313
1957-03-01,75.173
1957-04-01,76.116
1957-05-01,77.027
1957-06-01,77.965
1957-07-01,78.87
1957-08-01,79.806
1957-09-01,80.741
1957-10-01,81.645
1957-11-01,82.582
1957-12-01,83.49
1958-01-01,84.427
1958-02-01,85.365
1958-03-01,86.218
1958-04-01,87.153
1958-05-01,88.055
1958-06-01,88.987
1958-07-01,89.885
1958-08-01,90.816
1958-09-01,91.748
1958-10-01,92.651
1958-11-01,93.585
1958-12-01,94.492
1959-01-01,95.427
1959-02-01,96.361
1959-03-01,97.207
1959-04-01,98.137
1959-05-01,99.035
1959-06-01,99.964
1959-07-01,100.862
1959-08-01,101.794
1959-09-01,102.727
1959-10-01,103.632
1959-11-01,104.567
1959-12-01,105.474
1960-01-01,106.409
1960-02-01,107.343
1960-03-01,108.215
1960-04-01,109.146
1960-05-01,110.045
1960-06-01,110.977
1960-07-01,111.879
1960-08-01,112.814
1960-09-01,113.75
1960-10-01,114.659
1960-11-01,115.597
1960-12-01,116.508
1961-01-01,117.446
1961-02-01,118.384
1961-03-01,119.226
1961-04-01,120.163
1961-05-01,121.068
1961-06-01,122.007
1961-07-01,122.919
1961-08-01,123.862
1961-09-01,124.806
1961-10-01,125.722
1961-11-01,126.668
1961-12-01,127.584
1962-01-01,128.529
1962-02-01,129.475
1962-03-01,130.323
1962-04-01,131.27
1962-05-01,132.187
1962-06-01,133.138
1962-07-01,134.061
1962-08-01,135.015
1962-09-01,135.97
1962-10-01,136.896
1962-11-01,137.852
1962-12-01,138.777
