date,Ls
1950-01-01,106.214
1951-01-01,110.614
1952-01-01,115.046
1953-01-01,119.524
1954-01-01,124.021
1955-01-01,128.548
1956-01-01,133.101
1957-01-01,137.691
1958-01-01,142.29
1959-01-01,146.909
1960-01-01,151.545
1961-01-01,156.209
1962-01-01,160.874
1963-01-01,165.551
1964-01-01,170.24
1965-01-01,174.952
1966-01-01,179.659
1967-01-01,184.372
1968-01-01,189.086
1969-01-01,193.811
1970-01-01,198.517
1971-01-01,203.213
1972-01-01,207.896
1973-01-01,212.575
1974-01-01,217.222
1975-01-01,221.847
1976-01-01,226.449
1977-01-01,231.04
1978-01-01,235.596
1979-01-01,240.128
1980-01-01,244.636
1981-01-01,249.13
1982-01-01,253.585
1983-01-01,258.011
1984-01-01,262.407
1985-01-01,266.784
1986-01-01,271.116
1987-01-01,275.415
1988-01-01,279.68
1989-01-01,283.924
1990-01-01,288.126
1991-01-01,292.3
1992-01-01,296.448
1993-01-01,300.583
1994-01-01,304.684
1995-01-01,308.763
1996-01-01,312.822
1997-01-01,316.873
1998-01-01,320.892
1999-01-01,324.891
2000-01-01,328.871
2001-01-01,332.843
2002-01-01,336.787
2003-01-01,340.717
2004-01-01,344.635
2005-01-01,348.556
2006-01-01,352.46
2007-01-01,356.362
2008-01-01,0.263
2009-01-01,4.176
2010-01-01,8.08
2011-01-01,11.988
2012-01-01,15.9
2013-01-01,19.826
2014-01-01,23.746
2015-01-01,27.672
2016-01-01,31.606
2017-01-01,35.563
2018-01-01,39.523
2019-01-01,43.499
2020-01-01,47.495
2021-01-01,51.524
2022-01-01,55.565
2023-01-01,59.632
2024-01-01,63.724
2025-01-01,67.852
2026-01-01,71.994
2027-01-01,76.161
2028-01-01,80.353
2029-01-01,84.582
2030-01-01,88.827
2031-01-01,93.1
2032-01-01,97.403
2033-01-01,101.75
2034-01-01,106.118
2035-01-01,110.52
2036-01-01,114.955
2037-01-01,119.436
2038-01-01,123.934
2039-01-01,128.461
2040-01-01,133.013
2041-01-01,137.602
2042-01-01,142.2
2043-01-01,146.817
2044-01-01,151.452
2045-01-01,156.115
2046-01-01,160.782
2047-01-01,165.462
2048-01-01,170.156
2049-01-01,174.874
2050-01-01,179.587
2051-01-01,184.305
2052-01-01,189.023
2053-01-01,193.751
2054-01-01,198.459
2055-01-01,203.155
2056-01-01,207.837
2057-01-01,212.515
2058-01-01,217.16
2059-01-01,221.784
2060-01-01,226.388
2061-01-01,230.982
2062-01-01,235.542
2063-01-01,240.079
2064-01-01,244.591
2065-01-01,249.089
2066-01-01,253.547
2067-01-01,257.976
2068-01-01,262.373
2069-01-01,266.75
2070-01-01,271.081
