date,Ls
1950-01-01,204.491
1950-02-01,254.762
1950-03-01,300.172
1950-04-01,350.047
1950-05-01,37.791
1950-06-01,86.82
1950-07-01,134.384
1950-08-01,184.006
1950-09-01,234.146
1950-10-01,282.848
1950-11-01,332.898
1950-12-01,20.816
1951-01-01,69.907
1951-02-01,118.967
1951-03-01,163.607
1951-04-01,213.556
1951-05-01,262.237
1951-06-01,312.452
1951-07-01,0.596
1951-08-01,49.829
1951-09-01,98.848
1951-10-01,146.503
1951-11-01,196.26
1951-12-01,244.857
1952-01-01,295.155
1952-02-01,345.088
1952-03-01,31.3
1952-04-01,80.351
1952-05-01,127.873
1952-06-01,177.417
1952-07-01,225.872
1952-08-01,276.194
1952-09-01,326.305
1952-10-01,14.3
1952-11-01,63.436
1952-12-01,110.891
1953-01-01,160.253
1953-02-01,210.162
1953-03-01,255.58
1953-04-01,305.833
1953-05-01,354.052
1953-06-01,43.345
1953-07-01,90.782
1953-08-01,139.962
1953-09-01,189.646
1953-10-01,238.205
1953-11-01,288.523
1953-12-01,336.917
1954-01-01,26.383
1954-02-01,75.448
1954-03-01,119.767
1954-04-01,169.221
1954-05-01,217.605
1954-06-01,267.921
1954-07-01,316.487
1954-08-01,6.183
1954-09-01,55.373
1954-10-01,102.809
1954-11-01,152.093
1954-12-01,200.298
1955-01-01,250.544
1955-02-01,300.818
1955-03-01,345.885
1955-04-01,35.259
1955-05-01,82.718
1955-06-01,131.848
1955-07-01,179.831
1955-08-01,229.931
1955-09-01,280.253
1955-10-01,328.718
1955-11-01,18.273
1955-12-01,65.803
1956-01-01,114.853
1956-02-01,164.259
1956-03-01,210.974
1956-04-01,261.267
1956-05-01,309.872
1956-06-01,359.64
1956-07-01,47.302
1956-08-01,96.322
1956-09-01,145.548
1956-10-01,193.68
1956-11-01,243.887
1956-12-01,292.571
1957-01-01,342.53
1957-02-01,31.94
1957-03-01,76.245
1957-04-01,125.333
1957-05-01,173.241
1957-06-01,223.28
1957-07-01,271.98
1957-08-01,322.127
1957-09-01,11.761
1957-10-01,59.332
1957-11-01,108.359
1957-12-01,156.096
1958-01-01,205.96
1958-02-01,256.235
1958-03-01,301.637
1958-04-01,351.496
1958-05-01,39.228
1958-06-01,88.254
1958-07-01,135.828
1958-08-01,185.468
1958-09-01,235.619
1958-10-01,284.317
1958-11-01,334.352
1958-12-01,22.255
1959-01-01,71.339
1959-02-01,120.406
1959-03-01,165.06
1959-04-01,215.025
1959-05-01,263.71
1959-06-01,313.913
1959-07-01,2.04
1959-08-01,51.261
1959-09-01,100.281
1959-10-01,147.948
1959-11-01,197.722
1959-12-01,246.33
1960-01-01,296.622
1960-02-01,346.537
1960-03-01,32.736
1960-04-01,81.782
1960-05-01,129.313
1960-06-01,178.872
1960-07-01,227.341
1960-08-01,277.664
1960-09-01,327.762
1960-10-01,15.741
1960-11-01,64.868
1960-12-01,112.326
1961-01-01,161.703
1961-02-01,211.627
1961-03-01,257.052
1961-04-01,307.299
1961-05-01,355.501
1961-06-01,44.78
1961-07-01,92.215
1961-08-01,141.407
1961-09-01,191.107
1961-10-01,239.676
1961-11-01,289.993
1961-12-01,338.374
1962-01-01,27.823
1962-02-01,76.882
1962-03-01,121.207
1962-04-01,170.676
1962-05-01,219.074
1962-06-01,269.394
1962-07-01,317.951
1962-08-01,7.631
1962-09-01,56.809
1962-10-01,104.246
1962-11-01,153.543
1962-12-01,201.763
1963-01-01,252.016
1963-02-01,302.286
1963-03-01,347.34
1963-04-01,36.7
1963-05-01,84.154
1963-06-01,133.293
1963-07-01,181.291
1963-08-01,231.402
1963-09-01,281.724
1963-10-01,330.177
1963-11-01,19.718
1963-12-01,67.24
1964-01-01,116.293
1964-02-01,165.713
1964-03-01,212.442
1964-04-01,262.739
1964-05-01,311.335
1964-06-01,1.089
1964-07-01,48.74
1964-08-01,97.758
1964-09-01,146.995
1964-10-01,195.142
1964-11-01,245.358
1964-12-01,294.037
1965-01-01,343.983
1965-02-01,33.379
1965-03-01,77.68
1965-04-01,126.774
1965-05-01,174.696
1965-06-01,224.748
1965-07-01,273.449
1965-08-01,323.585
1965-09-01,13.204
1965-10-01,60.766
1965-11-01,109.797
1965-12-01,157.545
1966-01-01,207.423
1966-02-01,257.706
1966-03-01,303.101
1966-04-01,352.944
1966-05-01,40.663
1966-06-01,89.689
1966-07-01,137.273
1966-08-01,186.927
1966-09-01,237.088
1966-10-01,285.784
1966-11-01,335.805
1966-12-01,23.693
1967-01-01,72.773
1967-02-01,121.847
1967-03-01,166.514
1967-04-01,216.492
1967-05-01,265.18
1967-06-01,315.374
1967-07-01,3.485
1967-08-01,52.696
1967-09-01,101.719
1967-10-01,149.399
1967-11-01,199.187
1967-12-01,247.801
1968-01-01,298.088
1968-02-01,347.989
1968-03-01,34.174
1968-04-01,83.217
1968-05-01,130.758
1968-06-01,180.333
1968-07-01,228.813
1968-08-01,279.135
1968-09-01,329.221
