*******************************************************************************
 Revised: April 12, 2021                 Earth                              399
 
 GEOPHYSICAL PROPERTIES (revised May 9, 2022):
  Vol. Mean Radius (km)    = 6371.01+-0.02   Mass x10^24 (kg)= 5.97219+-0.0006
  Equ. radius, km          = 6378.137        Mass layers:
  Polar axis, km           = 6356.752          Atmos         = 5.1   x 10^18 kg
  Flattening               = 1/298.257223563   oceans        = 1.4   x 10^21 kg
  Density, g/cm^3          = 5.51              crust         = 2.6   x 10^22 kg
  J2 (IERS 2010)           = 0.00108262545     mantle        = 4.043 x 10^24 kg
  g_p, m/s^2  (polar)      = 9.8321863685      outer core    = 1.835 x 10^24 kg
  g_e, m/s^2  (equatorial) = 9.7803267715      inner core    = 9.675 x 10^22 kg
  g_o, m/s^2               = 9.82022         Fluid core rad  = 3480 km
  GM, km^3/s^2             = 398600.435436   Inner core rad  = 1215 km
  GM 1-sigma, km^3/s^2     =      0.0014     Escape velocity = 11.186 km/s
  Rot. Rate (rad/s)        = 0.00007292115   Surface area:
  Mean sidereal day, hr    = 23.9344695944     land          = 1.48 x 10^8 km
  Mean solar day 2000.0, s = 86400.002         sea           = 3.62 x 10^8 km
  Mean solar day 1820.0, s = 86400.0         Love no., k2    = 0.299
  Moment of inertia        = 0.3308          Atm. pressure   = 1.0 bar
  Mean surface temp (Ts), K= 287.6           Volume, km^3    = 1.08321 x 10^12
  Mean effect. temp (Te), K= 255             Magnetic moment = 0.61 gauss Rp^3
  Geometric albedo         = 0.367           Vis. mag. V(1,0)= -3.86
  Solar Constant (W/m^2)   = 1367.6 (mean), 1414 (perihelion), 1322 (aphelion)
 HELIOCENTRIC ORBIT CHARACTERISTICS:
  Obliquity to orbit, deg  = 23.4392911  Sidereal orb period  = 1.0000174 y
  Orbital speed, km/s      = 29.79       Sidereal orb period  = 365.25636 d
  Mean daily motion, deg/d = 0.9856474   Hill's sphere radius = 234.9       
*******************************************************************************


*******************************************************************************
Ephemeris / WWW_USER Wed May 22 06:58:55 2024 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Earth (399)                     {source: DE441}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODYCENTRIC
*******************************************************************************
Start time      : A.D. 1900-Jan-01 00:00:00.0000 UT      
Stop  time      : A.D. 2200-Jan-01 00:00:00.0000 UT      
Step-size       : 7200 minutes
*******************************************************************************
Target pole/equ : ITRF93 (high precision)         {East-longitude positive}
Target radii    : 6378.137, 6378.137, 6356.752 km {Equator_a, b, pole_c}       
Center geodetic : 0.0, 0.0, -695700.0             {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : IAU_SUN                         {East-longitude positive}
Center radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}       
Target primary  : Sun
Vis. interferer : None
Rel. light bend : Sun                             {source: DE441}
Rel. lght bnd GM: 1.3271E+11 km^3/s^2                                          
Atmos refraction: NO (AIRLESS)
RA format       : DEG
Time format     : CAL 
Calendar mode   : Mixed Julian/Gregorian
EOP file        : eop.240521.p240814                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2024-MAY-21. PREDICTS-> 2024-AUG-13
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass     n.a.    , Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
Table format    : Comma Separated Values (spreadsheet)
*******************************************************************************
 Date__(UT)__HR:MN, , , hEcl-Lon,hEcl-Lat,      PlAng,  Tru_Anom,  App_Lon_Sun,
*******************************************************************************
$$SOE
 1900-Jan-01 00:00, , , 101.5451,  0.0125,   -0.00607,  359.1370,  280.1526210,
 1900-Jan-06 00:00, , , 106.6435,  0.0120,   -0.00602,    2.8050,  285.2470094,
 1900-Jan-11 00:00, , , 111.7392,  0.0116,   -0.00596,    8.2801,  290.3381878,
 1900-Jan-16 00:00, , , 116.8309,  0.0112,   -0.00591,   15.0022,  295.4307051,
 1900-Jan-21 00:00, , , 121.9189,  0.0106,   -0.00587,   20.8506,  300.5228896,
 1900-Jan-26 00:00, , , 127.0035,  0.0097,   -0.00583,   24.9198,  305.6109304,
 1900-Jan-31 00:00, , , 132.0837,  0.0087,   -0.00577,   28.0235,  310.6902918,
 1900-Feb-05 00:00, , , 137.1565,  0.0078,   -0.00570,   32.8488,  315.7589775,
 1900-Feb-10 00:00, , , 142.2191,  0.0071,   -0.00564,   39.9586,  320.8205154,
 1900-Feb-15 00:00, , , 147.2709,  0.0062,   -0.00560,   46.7941,  325.8743795,
 1900-Feb-20 00:00, , , 152.3124,  0.0051,   -0.00556,   51.4786,  330.9183895,
 1900-Feb-25 00:00, , , 157.3443,  0.0039,   -0.00551,   54.1283,  335.9511079,
 1900-Mar-02 00:00, , , 162.3659,  0.0027,   -0.00544,   57.0464,  340.9712007,
 1900-Mar-07 00:00, , , 167.3747,  0.0017,   -0.00537,   63.3563,  345.9787813,
 1900-Mar-12 00:00, , , 172.3685,  0.0007,   -0.00532,   71.2210,  350.9730770,
 1900-Mar-17 00:00, , , 177.3474, -0.0004,   -0.00527,   77.5058,  355.9525938,
 1900-Mar-22 00:00, , , 182.3127, -0.0017,   -0.00522,   81.0412,    0.9180923,
 1900-Mar-27 00:00, , , 187.2656, -0.0029,   -0.00516,   82.8609,    5.8713458,
 1900-Apr-01 00:00, , , 192.2058, -0.0040,   -0.00509,   86.5185,   10.8124462,
 1900-Apr-06 00:00, , , 197.1313, -0.0049,   -0.00502,   93.9007,   15.7383672,
 1900-Apr-11 00:00, , , 202.0409, -0.0058,   -0.00498,  101.5297,   20.6468379,
 1900-Apr-16 00:00, , , 206.9354, -0.0068,   -0.00493,  106.8890,   25.5396349,
 1900-Apr-21 00:00, , , 211.8166, -0.0079,   -0.00487,  109.5794,   30.4210324,
 1900-Apr-26 00:00, , , 216.6865, -0.0089,   -0.00480,  111.5614,   35.2938892,
 1900-May-01 00:00, , , 221.5450, -0.0095,   -0.00473,  116.5227,   40.1550820,
 1900-May-06 00:00, , , 226.3907, -0.0101,   -0.00468,  124.0545,   44.9994448,
 1900-May-11 00:00, , , 231.2231, -0.0107,   -0.00462,  130.7119,   49.8282553,
 1900-May-16 00:00, , , 236.0437, -0.0114,   -0.00457,  135.0526,   54.6468530,
 1900-May-21 00:00, , , 240.8548, -0.0121,   -0.00450,  137.5268,   59.4609627,
 1900-May-26 00:00, , , 245.6587, -0.0124,   -0.00444,  140.7543,   64.2701469,
 1900-May-31 00:00, , , 250.4555, -0.0126,   -0.00438,  146.8123,   69.0678869,
 1900-Jun-05 00:00, , , 255.2442, -0.0127,   -0.00432,  153.5822,   73.8524710,
 1900-Jun-10 00:00, , , 260.0249, -0.0129,   -0.00426,  158.8836,   78.6289368,
 1900-Jun-15 00:00, , , 264.7993, -0.0131,   -0.00420,  162.3996,   83.4039907,
 1900-Jun-20 00:00, , , 269.5704, -0.0131,   -0.00415,  165.5815,   88.1808778,
 1900-Jun-25 00:00, , , 274.3403, -0.0129,   -0.00409,  170.6235,   92.9546902,
 1900-Jun-30 00:00, , , 279.1091, -0.0125,   -0.00403,  177.0023,   97.7211699,
 1900-Jul-05 00:00, , , 283.8761, -0.0122,   -0.00396,  182.4641,  102.4832443,
