*******************************************************************************
 Revised: April 12, 2021             Mercury                            199 / 1

 PHYSICAL DATA (updated 2024-Mar-04):
  Vol. Mean Radius (km) =  2439.4+-0.1    Density (g cm^-3)     = 5.427
  Mass x10^23 (kg)      =     3.302       Volume (x10^10 km^3)  = 6.085  
  Sidereal rot. period  =    58.6463 d    Sid. rot. rate (rad/s)= 0.00000124001
  Mean solar day        =   175.9421 d    Core radius (km)      = ~1600 
  Geometric Albedo      =     0.106       Surface emissivity    = 0.77+-0.06
  GM (km^3/s^2)         = 22031.86855     Equatorial radius, Re = 2440.53 km
  GM 1-sigma (km^3/s^2) =                 Mass ratio (Sun/plnt) = 6023682
  Mom. of Inertia       =     0.33        Equ. gravity  m/s^2   = 3.701     
  Atmos. pressure (bar) = < 5x10^-15      Max. angular diam.    = 11.0"   
  Mean Temperature (K)  = 440             Visual mag. V(1,0)    = -0.42 
  Obliquity to orbit[1] =  2.11' +/- 0.1' Hill's sphere rad. Rp = 94.4 
  Sidereal orb. per.    =  0.2408467 y    Mean Orbit vel.  km/s = 47.362 
  Sidereal orb. per.    = 87.969257  d    Escape vel. km/s      =  4.435
                                 Perihelion  Aphelion    Mean
  Solar Constant (W/m^2)         14462       6278        9126
  Maximum Planetary IR (W/m^2)   12700       5500        8000
  Minimum Planetary IR (W/m^2)   6           6           6
*******************************************************************************


*******************************************************************************
Ephemeris / WWW_USER Sat May 25 20:17:53 2024 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Mercury (199)                   {source: DE441}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODYCENTRIC
*******************************************************************************
Start time      : A.D. 1900-Jan-01 00:00:00.0000 UT      
Stop  time      : A.D. 2100-Jan-01 00:00:00.0000 UT      
Step-size       : 1 calendar month
*******************************************************************************
Target pole/equ : IAU_MERCURY                     {West-longitude positive}
Target radii    : 2440.53, 2440.53, 2438.26 km    {Equator_a, b, pole_c}       
Center geodetic : 0.0, 0.0, -695700.0             {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : IAU_SUN                         {East-longitude positive}
Center radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}       
Target primary  : Sun
Vis. interferer : None
Rel. light bend : Sun                             {source: DE441}
Rel. lght bnd GM: 1.3271E+11 km^3/s^2                                          
Atmos refraction: NO (AIRLESS)
RA format       : DEG
Time format     : CAL 
Calendar mode   : Mixed Julian/Gregorian
EOP file        : eop.240523.p240816                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2024-MAY-23. PREDICTS-> 2024-AUG-15
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass     n.a.    , Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
Table format    : Comma Separated Values (spreadsheet)
*******************************************************************************
 Date__(UT)__HR:MN, , , hEcl-Lon,hEcl-Lat,      PlAng,  Tru_Anom,  App_Lon_Sun,
*******************************************************************************
$$SOE
 1900-Jan-01 00:00, , , 202.7686,  3.0514,   -0.04503,  125.3031,  174.4579818,
 1900-Feb-01 00:00, , , 292.6958, -6.3201,   -0.04566,  215.5660,  264.7333860,
 1900-Mar-01 00:00, , ,  55.3506,  0.8457,   -0.06727,  338.1044,   27.2829826,
 1900-Apr-01 00:00, , , 209.4691,  2.2913,   -0.05365,  132.0392,  181.2216737,
 1900-May-01 00:00, , , 295.8587, -6.4775,   -0.05516,  218.7132,  267.9086018,
 1900-Jun-01 00:00, , ,  80.6088,  3.7444,   -0.08095,    3.5058,   52.7168294,
 1900-Jul-01 00:00, , , 218.9718,  1.1609,   -0.06120,  141.6045,  190.8376816,
 1900-Aug-01 00:00, , , 308.8114, -6.9128,   -0.06637,  231.5847,  280.7562676,
 1900-Sep-01 00:00, , , 105.7779,  5.9098,   -0.09106,   28.6751,   77.8246012,
 1900-Oct-01 00:00, , , 230.9073, -0.3014,   -0.06760,  153.6272,  202.7986825,
 1900-Nov-01 00:00, , , 322.9465, -6.9896,   -0.07807,  245.6136,  294.7830519,
 1900-Dec-01 00:00, , , 123.7361,  6.7830,   -0.09821,   46.5421,   95.7234013,
 1901-Jan-01 00:00, , , 242.3111, -1.6869,   -0.07349,  165.1119,  214.3036923,
 1901-Feb-01 00:00, , , 338.6381, -6.5843,   -0.09052,  261.1989,  310.3771922,
 1901-Mar-01 00:00, , , 135.0553,  6.9987,   -0.10414,   57.7805,  106.9684885,
 1901-Apr-01 00:00, , , 247.9373, -2.3486,   -0.07913,  170.7731,  219.9740156,
 1901-May-01 00:00, , , 342.9508, -6.3853,   -0.09891,  265.4887,  314.6859649,
 1901-Jun-01 00:00, , , 155.5864,  6.7027,   -0.10517,   78.1665,  127.3705371,
 1901-Jul-01 00:00, , , 256.2675, -3.2839,   -0.08398,  179.1456,  228.3606548,
 1901-Aug-01 00:00, , ,   1.1660, -5.1633,   -0.11128,  283.6512,  332.8194458,
 1901-Sep-01 00:00, , , 173.6109,  5.7414,   -0.10434,   96.1085,  145.2887126,
 1901-Oct-01 00:00, , , 267.3703, -4.4173,   -0.08840,  190.2797,  239.4505475,
 1901-Nov-01 00:00, , ,  21.7503, -3.1631,   -0.12280,  304.2750,  353.3396864,
 1901-Dec-01 00:00, , , 185.7284,  4.7696,   -0.10354,  108.2118,  157.2902934,
 1902-Jan-01 00:00, , , 278.7062, -5.4013,   -0.09239,  201.6148,  250.6972221,
 1902-Feb-01 00:00, , ,  44.7231, -0.4585,   -0.13170,  327.3912,   16.4602225,
 1902-Mar-01 00:00, , , 193.2696,  4.0531,   -0.10287,  115.7636,  164.8121362,
 1902-Apr-01 00:00, , , 284.5796, -5.8298,   -0.09491,  207.4760,  256.5317981,
 1902-May-01 00:00, , ,  50.9321,  0.3047,   -0.13453,  333.6485,   22.6998998,
 1902-Jun-01 00:00, , , 207.1191,  2.5617,   -0.09912,  129.6713,  178.7333124,
 1902-Jul-01 00:00, , , 293.6387, -6.3690,   -0.09716,  216.5002,  265.5440341,
 1902-Aug-01 00:00, , ,  76.0376,  3.2592,   -0.13589,  358.9126,   47.9442231,
