*******************************************************************************
 Revised: April 12, 2021                Venus                           299 / 2
 
 PHYSICAL DATA (updated 2020-Oct-19):
  Vol. Mean Radius (km) =  6051.84+-0.01 Density (g/cm^3)      =  5.204
  Mass x10^23 (kg)      =    48.685      Volume (x10^10 km^3)  = 92.843
  Sidereal rot. period  =   243.018484 d Sid. Rot. Rate (rad/s)= -0.00000029924
  Mean solar day        =   116.7490 d   Equ. gravity  m/s^2   =  8.870
  Mom. of Inertia       =     0.33       Core radius (km)      = ~3200
  Geometric Albedo      =     0.65       Potential Love # k2   = ~0.25
  GM (km^3/s^2)         = 324858.592     Equatorial Radius, Re = 6051.893 km
  GM 1-sigma (km^3/s^2) =    +-0.006     Mass ratio (Sun/Venus)= 408523.72
  Atmos. pressure (bar) =  90            Max. angular diam.    =   60.2"
  Mean Temperature (K)  = 735            Visual mag. V(1,0)    =   -4.40
  Obliquity to orbit    = 177.3 deg      Hill's sphere rad.,Rp =  167.1
  Sidereal orb. per., y =   0.61519726   Orbit speed, km/s     =   35.021
  Sidereal orb. per., d = 224.70079922   Escape speed, km/s    =   10.361
                                 Perihelion  Aphelion    Mean
  Solar Constant (W/m^2)         2759         2614       2650
  Maximum Planetary IR (W/m^2)    153         153         153
  Minimum Planetary IR (W/m^2)    153         153         153
*******************************************************************************


*******************************************************************************
Ephemeris / WWW_USER Sat May 25 20:18:36 2024 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Venus (299)                     {source: DE441}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODYCENTRIC
*******************************************************************************
Start time      : A.D. 1900-Jan-01 00:00:00.0000 UT      
Stop  time      : A.D. 2100-Jan-01 00:00:00.0000 UT      
Step-size       : 1 calendar month
*******************************************************************************
Target pole/equ : IAU_VENUS                       {East-longitude positive}
Target radii    : 6051.8, 6051.8, 6051.8 km       {Equator_a, b, pole_c}       
Center geodetic : 0.0, 0.0, -695700.0             {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : IAU_SUN                         {East-longitude positive}
Center radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}       
Target primary  : Sun
Vis. interferer : None
Rel. light bend : Sun                             {source: DE441}
Rel. lght bnd GM: 1.3271E+11 km^3/s^2                                          
Atmos refraction: NO (AIRLESS)
RA format       : DEG
Time format     : CAL 
Calendar mode   : Mixed Julian/Gregorian
EOP file        : eop.240523.p240816                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2024-MAY-23. PREDICTS-> 2024-AUG-15
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass     n.a.    , Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
Table format    : Comma Separated Values (spreadsheet)
*******************************************************************************
 Date__(UT)__HR:MN, , , hEcl-Lon,hEcl-Lat,      PlAng,  Tru_Anom,  App_Lon_Sun,
*******************************************************************************
$$SOE
 1900-Jan-01 00:00, , , 344.5242, -3.3925,   -0.00034,  213.2187,  106.3690408,
 1900-Feb-01 00:00, , ,  33.9006, -2.3198,   -0.00108,  262.5738,  155.6909928,
 1900-Mar-01 00:00, , ,  78.8647,  0.1131,   -0.00176,  307.5935,  200.7085836,
 1900-Apr-01 00:00, , , 129.0721,  2.6811,   -0.00252,  357.8092,  250.9614587,
 1900-May-01 00:00, , , 177.7965,  3.3352,   -0.00327,   46.4227,  299.6185634,
 1900-Jun-01 00:00, , , 227.6999,  1.6611,   -0.00402,   96.1928,  349.4977138,
 1900-Jul-01 00:00, , , 275.3757, -1.0739,   -0.00472,  143.8053,   37.2468870,
 1900-Aug-01 00:00, , , 324.3984, -3.1362,   -0.00542,  192.7652,   86.2767465,
 1900-Sep-01 00:00, , ,  13.6224, -3.0351,   -0.00612,  241.8900,  135.4256299,
 1900-Oct-01 00:00, , ,  61.6295, -0.8985,   -0.00682,  289.9176,  183.4473631,
 1900-Nov-01 00:00, , , 111.6918,  1.9362,   -0.00756,  340.0480,  233.5825092,
 1900-Dec-01 00:00, , , 160.4323,  3.3736,   -0.00828,   28.7333,  282.2872899,
 1901-Jan-01 00:00, , , 210.5528,  2.4605,   -0.00899,   78.7394,  332.3461536,
 1901-Feb-01 00:00, , , 260.0135, -0.1813,   -0.00964,  128.1876,   21.8625834,
 1901-Mar-01 00:00, , , 304.3139, -2.4990,   -0.01020,  172.5174,   66.2079496,
 1901-Apr-01 00:00, , , 353.4181, -3.3740,   -0.01079,  221.5649,  115.2508985,
 1901-May-01 00:00, , ,  41.2575, -1.9829,   -0.01138,  269.4095,  163.0538312,
 1901-Jun-01 00:00, , ,  91.1268,  0.8321,   -0.01201,  319.3841,  212.9947584,
 1901-Jul-01 00:00, , , 139.7904,  3.0216,   -0.01264,    8.0706,  261.6753590,
 1901-Aug-01 00:00, , , 190.0880,  3.1231,   -0.01327,   58.3062,  311.8959298,
 1901-Sep-01 00:00, , , 239.8277,  1.0011,   -0.01385,  108.0214,    1.6436239,
 1901-Oct-01 00:00, , , 287.3990, -1.7219,   -0.01434,  155.6291,   49.2873735,
 1901-Nov-01 00:00, , , 336.4400, -3.3386,   -0.01480,  204.6412,   98.3026531,
 1901-Dec-01 00:00, , ,  24.1525, -2.7059,   -0.01521,  252.2984,  145.9487271,
 1902-Jan-01 00:00, , ,  73.8615, -0.1835,   -0.01564,  302.1427,  195.7007516,
 1902-Feb-01 00:00, , , 124.0296,  2.4876,   -0.01608,  352.4939,  245.9254880,
 1902-Mar-01 00:00, , , 169.5245,  3.3919,   -0.01648,   38.0646,  291.3695171,
 1902-Apr-01 00:00, , , 219.5352,  2.0646,   -0.01689,   88.1633,  341.3375486,
 1902-May-01 00:00, , , 267.2962, -0.6104,   -0.01725,  136.0084,   29.1649708,
 1902-Jun-01 00:00, , , 316.3207, -2.9225,   -0.01756,  185.0291,   78.2161148,
 1902-Jul-01 00:00, , ,   3.9023, -3.2482,   -0.01781,  232.5108,  125.7258362,
